平成２１年４月１日から平成２２年３月３１日までの分,,,,,,,,,,,,,
開札日,執行課名,事業担当課名,工事名,工事場所１市区町村,工事場所１地名１,工事場所１地名２,契約業者名,予定価格,最低制限価格若しくは調査基準価格,落札価格,指名業者数,入札形式,
20100308,那賀地域振興部,農業農村整備課,水栖大池改修（その７）工事　　　　　　　　　　　　　　　　　　　　　　　　　　　,岩出市　　　　　　　,水栖　　　　　　　　,地内　　　　　　　　,（株）藏端組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 23,950,500 "," 20,600,380 "," 20,669,250 ", 7 ,条件付一般競争入札,
20100301,那賀地域振興部,農業農村整備課,善田地区地すべり防止施設改修工事　　　　　　　　　　　　　　　　　　　　　　　　,紀の川市　　　　　　,桃山町善田　　　　　,地内　　　　　　　　,井畑組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 1,407,000 "," 1,242,208 "," 1,375,500 ", 1 ,条件付一般競争入札,
20100225,西牟婁地域振興部,農林水産総務課,畜産試験場崩土復旧工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,西牟婁郡　すさみ町　,見老津　　　　　　　,　　地内　　　　　　,（有）塩飽建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 1,218,000 "," 1,026,849 "," 1,207,500 ", 2 ,条件付一般競争入札,
20100225,海草地域振興部,農業農村整備課,安原地区朝日水路改修付帯工事　　　　　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,朝日　　　　　　　　,地内　　　　　　　　,（株）里村建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 1,638,000 "," 1,395,451 "," 1,408,680 ", 6 ,条件付一般競争入札,
20100209,伊都地域振興部,農業農村整備課,中山間総合農地防災事業　恋野地区　ほ場法面等整備工事　　　　　　　　　　　　　　,橋本市　　　　　　　,恋野　　　　　　　　,地内　　　　　　　　,（株）仲山建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 3,538,500 "," 2,983,522 "," 3,496,500 ", 2 ,条件付一般競争入札,
20100202,日高地域振興部,畜産課,畜産育成公社跡地農業用水路補修工事　　　　　　　　　　　　　　　　　　　　　　　,日高郡　印南町　　　,美里　　　　　　　　,地内　　　　　　　　,建設," 598,500 "," 517,633 "," 586,950 ", 2 ,条件付一般競争入札,
20100129,伊都地域振興部,森林整備課,山地災害総合減災対策治山事業測量設計業務(減災対策第1号-4)　　　　　　　　　　　　　　　　　　　　,伊都郡　かつらぎ町　,大字花園中南　　　　,地内　　　　　　　　,（有）尾崎測量設計　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 2,487,450 "," 1,788,227 "," 2,100,000 ", 8 ,条件付一般競争入札,
20100127,日高地域振興部,農業農村整備課,ため池診断ボーリング調査業務　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高町　　　,小坂・志賀・小浦　　,地内　　　　　　　　,（有）岡本土木技術　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 4,315,500 "," 3,041,995 "," 3,041,995 ", 14 ,条件付一般競争入札,
20100127,日高地域振興部,農業農村整備課,海岸保全区域台帳更新業務　　　　　　　　　　　　　　　　　　　　　　　　　　　　,御坊市　　　　　　　,名田町　楠井　　　　,地内　　　　　　　　,（有）成和測量設計事務所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 3,675,000 "," 2,590,507 "," 3,412,500 ", 10 ,条件付一般競争入札,
20100127,西牟婁地域振興部,森林整備課,県土防災対策治山事業(県防第25号)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,伏菟野　　　　　　　,前谷地内　　　　　　,野田工建　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 448,350 "," 372,187 "," 435,750 ", 2 ,条件付一般競争入札,
20100127,海草地域振興部,農業農村整備課,永谷地区付帯その２工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,海草郡　紀美野町　　,永谷　　　　　　　　,地内　　　　　　　　,油谷土木　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 1,512,000 "," 1,291,469 "," 1,428,000 ", 3 ,条件付一般競争入札,
20100121,西牟婁地域振興部,農業農村整備課,笠甫地区付帯施設補強工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　,西牟婁郡　白浜町　　,笠甫　　　　　　　　,地内　　　　　　　　,（有）アセスメント　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 5,911,500 "," 4,998,084 "," 5,615,400 ", 1 ,条件付一般競争入札,
20100121,西牟婁地域振興部,森林整備課,水源流域広域保全事業測量設計業務(水広第1号-5)　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,龍神村丹生ノ川　　　,濁谷地内　　　　　　,小原測量　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 557,550 "," 401,212 "," 496,230 ", 11 ,条件付一般競争入札,
20100121,西牟婁地域振興部,森林整備課,水源流域広域保全事業測量設計業務(水広第1号-6)　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,龍神村丹生ノ川　　　,坂田井地内　　　　　,（有）牟?測量設計　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 1,223,250 "," 888,813 "," 1,087,800 ", 11 ,条件付一般競争入札,
20100121,西牟婁地域振興部,森林整備課,水源流域広域保全事業測量設計業務(水広第1号-7)　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,龍神村丹生ノ川　　　,坂田井地内　　　　　,日高測量設計（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 1,716,750 "," 1,269,021 "," 1,559,250 ", 11 ,条件付一般競争入札,
20100121,那賀地域振興部,森林整備課,県有林内作業道補修(作業道補修第1号)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,岩出市　　　　　　　,根来　　　　　　　　,地内　　　　　　　　,大志組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 350,700 "," 296,988 "," 341,250 ", 2 ,条件付一般競争入札,
20100120,日高地域振興部,農業農村整備課,南紀用水地区島ノ瀬ダム水管理システム更新工事　　　　　　　　　　　　　　　　　　,日高郡　みなべ町　　,東神野川　（外）　　,地内　　　　　　　　,富士通（株）関西支社　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 397,089,000 "," 354,878,439 "," 362,250,000 ", 4 ,条件付一般競争入札（総合評価）,
20100119,伊都地域振興部,農業農村整備課,平成２０年度繰越　河根地区　附帯工事　　　　　　　　　　　　　　　　　　　　　　,伊都郡　九度山町　　,河根　　　　　　　　,地内　　　　　　　　,（株）仲山建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 882,000 "," 741,027 "," 744,660 ", 4 ,条件付一般競争入札,
20100119,有田地域振興部,農業農村整備課,畦田２期地区１号承水路工事　　　　　　　　　　　　　　　　　　　　　　　　　　　,有田郡　有田川町　　,瀬井　　　　　　　　,地内　　　　　　　　,紙屋建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 11,361,000 "," 9,857,391 "," 10,005,345 ", 9 ,条件付一般競争入札,
20100113,水産振興課,水産振興課,北部栽培漁業センター種苗生産棟排水施設改修工事　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,加太　　　　　　　　,地内　　　　　　　　,（株）カネダ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 3,349,500 "," 2,959,185 "," 3,003,000 ", 1 ,条件付一般競争入札,
20100107,海草地域振興部,農業農村整備課,中田地区測量その２業務　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,海草郡　紀美野町　　,中田　　　　　　　　,地内　　　　　　　　,（有）クボタ測建工業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 546,000 "," 387,933 "," 514,500 ", 2 ,条件付一般競争入札,
20100107,西牟婁地域振興部,農業農村整備課,日向地区ほ場園内整備その１工事　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,上芳養　　　　　　　,地内　　　　　　　　,（有）クボタ工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 14,700,000 "," 12,546,450 "," 12,597,900 ", 9 ,条件付一般競争入札,
20100107,東牟婁地域振興部,森林整備課,災害関連緊急治山事業(災害関連第3号-1)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,新宮市　　　　　　　,熊野川町鎌塚字岩ノ谷,地内　　　　　　　　,井筒建設（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 46,664,100 "," 40,403,989 "," 40,425,000 ", 15 ,条件付一般競争入札（総合評価）,
20091222,西牟婁地域振興部,農業農村整備課,日向地区幹線道路舗装その１工事　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,上芳養　　　　　　　,地内　　　　　　　　,（株）中井組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 4,788,000 "," 4,082,715 "," 4,515,000 ", 8 ,条件付一般競争入札,
20091217,西牟婁地域振興部,農業農村整備課,日向地区ほ場法面保護その１工事　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,上芳養　　　　　　　,地内　　　　　　　　,川口建設（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 10,290,000 "," 8,380,911 "," 8,456,700 ", 9 ,条件付一般競争入札,
20091215,那賀地域振興部,農業農村整備課,１号排水路兼用道路舗装工事　　　　　　　　　　　　　　　　　　　　　　　　　　　,紀の川市　　　　　　,竹房　　　　　　　　,、桃山町市場地内　　,（株）幸輝開発　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 6,268,500 "," 5,184,555 "," 5,196,450 ", 8 ,条件付一般競争入札,
20091209,日高地域振興部,森林整備課,奥地保安林保全緊急対策事業(奥地保安林第22号-2)　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高川町　　,大字熊野川　　　　　,字野々川地内　　　　,（有）土井組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 34,381,200 "," 28,152,937 "," 28,203,000 ", 10 ,条件付一般競争入札（総合評価）,
20091208,有田地域振興部,農業農村整備課,畦田２期地区　地すべり観測（継続）その３業務　　　　　　　　　　　　　　　　　　,有田郡　有田川町　　,瀬井　　　　　　　　,地内　　　　　　　　,（株）アスコ和歌山支店　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 2,730,000 "," 2,006,550 "," 2,021,838 ", 8 ,条件付一般競争入札,
20091208,有田地域振興部,農業農村整備課,揚水機場保全計画その１業務　　　　　　　　　　　　　　　　　　　　　　　　　　　,有田郡　有田川町　　,船坂　　　　　　　　,地内　　　　　　　　,（株）ウエスコ和歌山営業所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 6,226,500 "," 4,384,701 "," 4,554,684 ", 8 ,条件付一般競争入札,
20091208,有田地域振興部,農業農村整備課,鳥尾川工区第１揚水機場バルブ保全工事　　　　　　　　　　　　　　　　　　　　　　,有田市　　　　　　　,糸我町　中番　　　　,地内　　　　　　　　,（株）ナカシゲ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 11,476,500 "," 9,503,625 "," 9,520,350 ", 6 ,条件付一般競争入札,
20091208,有田地域振興部,農業農村整備課,用水路保全対策工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,有田郡　広川町　　　,上中野　　　　　　　,地内　　　　　　　　,望月建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 13,734,000 "," 11,496,769 "," 11,497,500 ", 13 ,条件付一般競争入札,
20091201,那賀地域振興部,農業農村整備課,下丹生谷地区　事業計画書作成業務　　　　　　　　　　　　　　　　　　　　　　　　,紀の川市　　　　　　,下丹生谷、東野　　　,地内　　　　　　　　,アジア航測（株）和歌山営業所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 5,638,500 "," 4,041,676 "," 4,874,100 ", 9 ,条件付一般競争入札,
20091127,東牟婁地域振興部,森林整備課,災害関連緊急治山事業(災害関連第3号-4)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,新宮市　　　　　　　,熊野川町上長井　　　,字小和瀬第３地内　　,（有）新英　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 25,701,900 "," 21,305,592 "," 21,330,750 ", 20 ,条件付一般競争入札,
20091127,東牟婁地域振興部,森林整備課,災害関連緊急治山事業(災害関連第3号-5)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,新宮市　　　　　　　,熊野川町上長井　　　,字小和瀬第４地内　　,（有）朝日建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 18,003,300 "," 14,968,283 "," 15,062,250 ", 20 ,条件付一般競争入札,
20091127,東牟婁地域振興部,森林整備課,災害関連緊急治山事業(災害関連第3号-2)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,新宮市　　　　　　　,熊野川町上長井　　　,字小和瀬第１地内　　,（株）海邊組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 30,662,100 "," 25,827,591 "," 25,930,800 ", 19 ,条件付一般競争入札（総合評価）,
20091127,東牟婁地域振興部,森林整備課,災害関連緊急治山事業(災害関連第3号-3)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,新宮市　　　　　　　,熊野川町上長井　　　,字小和瀬第２地内　　,（株）海邊組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 33,052,950 "," 27,536,475 "," 27,953,100 ", 19 ,条件付一般競争入札（総合評価）,
20091126,那賀地域振興部,森林整備課,県土防災対策治山事業(県防第15号)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,紀の川市　　　　　　,中鞆渕　　　　　　　,米ノ郷地内　　　　　,（株）シバケン　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 2,178,750 "," 1,776,348 "," 1,842,750 ", 2 ,条件付一般競争入札,
20091125,伊都地域振興部,農業農村整備課,平成２０年度繰越　河根地区　１号団地附帯工事　　　　　　　　　　　　　　　　　　,伊都郡　九度山町　　,河根　　　　　　　　,地内　　　　　　　　,柴田建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 3,192,000 "," 2,615,964 "," 3,045,000 ", 2 ,条件付一般競争入札,
20091124,有田地域振興部,農業農村整備課,土地改良施設耐震診断業務　　　　　　　　　　　　　　　　　　　　　　　　　　　　,有田市　　　　　　　,糸我町　中番　　　　,外地内　　　　　　　,内外エンジニアリング（株）和歌山営業所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 4,042,500 "," 2,968,407 "," 3,433,500 ", 5 ,条件付一般競争入札,
20091120,伊都地域振興部,森林整備課,予防治山事業(予防第12号-2)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,伊都郡　かつらぎ町　,大字花園梁瀬　　　　,字栂原地内　　　　　,西組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 17,533,950 "," 14,311,808 "," 16,653,000 ", 5 ,条件付一般競争入札,
20091119,西牟婁地域振興部,農業農村整備課,紀南地域農地海岸設計業務　　　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,新庄町　　　　　　　,地内　　　　　　　　,（株）阪和測量設計　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 6,006,000 "," 4,414,410 "," 5,701,500 ", 8 ,条件付一般競争入札,
20091119,西牟婁地域振興部,農業農村整備課,紀南地域農地海岸測量業務　　　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,新庄町　　　　　　　,地内　　　　　　　　,（有）牟?測量設計　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 1,690,500 "," 1,183,350 "," 1,554,000 ", 13 ,条件付一般競争入札,
20091118,日高地域振興部,森林整備課,予防治山事業(予防第4号-2)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高川町　　,大字高津尾字伊佐ノ川,地内　　　　　　　　,（株）サライ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 22,255,800 "," 18,135,600 "," 18,138,750 ", 14 ,条件付一般競争入札,
20091118,日高地域振興部,森林整備課,治山施設機能強化事業(機能強化第1号-2)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高川町　　,大字皆瀬字鳥居外　　,地内　　　　　　　　,（株）グロウ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 35,563,500 "," 28,985,856 "," 29,400,000 ", 7 ,条件付一般競争入札（総合評価）,
20091111,西牟婁地域振興部,森林整備課,県土防災対策治山事業(県防第18号)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,稲成町　　　　　　　,谷上地内　　　　　　,野田工建　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 2,491,650 "," 2,011,432 "," 2,012,850 ", 5 ,条件付一般競争入札,
20091111,東牟婁地域振興部,森林整備課,県土防災対策治山事業(県防第20号-1)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,東牟婁郡　古座川町　,洞尾　　　　　　　　,字  日南口  地内　　,森組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 1,366,050 "," 1,094,143 "," 1,354,500 ", 3 ,条件付一般競争入札,
20091111,東牟婁地域振興部,森林整備課,県土防災対策治山事業(県防第21号-1)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,東牟婁郡　串本町　　,鬮ノ川　　　　　　　,字  寄地  地内　　　,（株）岡工務店　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 3,285,450 "," 2,618,643 "," 3,276,000 ", 3 ,条件付一般競争入札,
20091110,有田地域振興部,農業農村整備課,農地等機能保全検討調査（農業水利施設現況調査）業務,有田郡　有田川町　　,清水外　　　　　　　,地内　　　　　　　　,（株）データ技研　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 2,299,500 "," 1,628,965 "," 1,632,185 ", 11 ,条件付一般競争入札,
20091110,海草地域振興部,農業農村整備課,２次診断（土質調査）業務　　　　　　　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,園部外　　　　　　　,地内　　　　　　　　,（株）センダイ工部コンサルタント　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 6,300,000 "," 4,648,140 "," 4,674,600 ", 20 ,条件付一般競争入札,
20091104,日高地域振興部,農業農村整備課,三尾川工区護岸耐震改修実施設計業務　　　　　　　　　　　　　　　　　　　　　　　,日高郡　由良町　　　,衣奈・三尾川　　　　,地内　　　　　　　　,（株）南紀航測センター　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 4,420,500 "," 3,193,369 "," 3,224,312 ", 9 ,条件付一般競争入札,
20091104,日高地域振興部,農業農村整備課,三尾川工区測量業務　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　由良町　　　,衣奈・三尾川　　　　,地内　　　　　　　　,（有）稲垣　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 1,974,000 "," 1,396,999 "," 1,396,999 ", 11 ,条件付一般競争入札,
20091030,東牟婁地域振興部,農業農村整備課,小匠ダムゲート設備機能保全計画策定業務　　　　　　　　　　　　　　　　　　　　　,東牟婁郡　那智勝浦町,小匠　　　　　　　　,地内　　　　　　　　,（株）アスコ和歌山支店　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 7,423,500 "," 5,222,432 "," 5,232,825 ", 8 ,条件付一般競争入札,
20091029,西牟婁地域振興部,森林整備課,山地災害総合減災対策治山事業　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,龍神村殿原　　　　　,小原地内　　　　　　,アダチエンタープライズ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 29,629,950 "," 24,352,871 "," 24,355,800 ", 21 ,条件付一般競争入札,
20091028,水産振興課,水産振興課,初島工区増殖礁製作及び設置工事　　　　　　　　　　　　　　　　　　　　　　　　　,有田市　　　　　　　,初島町　浜　　　　　,地先　　　　　　　　,（株）明生工業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 51,261,000 "," 43,073,080 "," 43,258,950 ", 4 ,条件付一般競争入札（総合評価）,
20091028,水産振興課,水産振興課,増殖礁製作及び設置工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　由良町　　　,小引　　　　　　　　,地先　他　　　　　　,出口組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 71,421,000 "," 59,852,916 "," 60,202,800 ", 3 ,条件付一般競争入札（総合評価）,
20091028,伊都地域振興部,農業農村整備課,中山間総合整備事業　吉原地区　ほ場整備準備工事　　　　　　　　　　　　　　　　　,橋本市　　　　　　　,吉原　　　　　　　　,地内　　　　　　　　,（株）畑中産業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 85,732,500 "," 70,802,161 "," 72,009,000 ", 6 ,条件付一般競争入札（総合評価）,
20091028,日高地域振興部,農業農村整備課,日高川二期地区若野支線水路改修その２工事　　　　　　　　　　　　　　　　　　　　,御坊市　　　　　　　,藤田町　藤井　　　　,地内　　　　　　　　,坂本工務店　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 18,711,000 "," 15,513,589 "," 15,529,500 ", 7 ,条件付一般競争入札,
20091028,日高地域振興部,農業農村整備課,南紀地区小水力発電施設基本計画策定業務　　　　　　　　　　　　　　　　　　　　　,日高郡　みなべ町　　,東神野川　　　　　　,地内　　　　　　　　,日本工営（株）和歌山営業所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 11,970,000 "," 8,814,708 "," 8,925,000 ", 2 ,条件付一般競争入札,
20091028,日高地域振興部,農業農村整備課,南紀用水地区辺川頭首工補修工事　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　みなべ町　　,東本庄　　　　　　　,地内　　　　　　　　,（株）宝玉井建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 1,942,500 "," 1,572,897 "," 1,611,750 ", 2 ,条件付一般競争入札,
20091027,伊都地域振興部,農業農村整備課,平成２０年度繰越　河根地区　支線１号農道附帯工事　　　　　　　　　　　　　　　　,伊都郡　九度山町　　,河根　　　　　　　　,地内　　　　　　　　,玉川土木　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 2,247,000 "," 1,922,466 "," 2,047,500 ", 2 ,条件付一般競争入札,
