入札日,執行部署名,事業担当課名,工事名,工事場所１市区町村,工事場所１地名１,工事場所１地名２,契約業者名,予定価格,最低制限価格若しくは調査基準価格,落札価格,指名業者数,入札形式
2007.01.17,日高産業振興部,農地整備課,新池ボーリング調査業務委託,日高郡　日高川町,三百瀬,地内,（株）白浜試錐,"2,583,000",0,"1,039,500",11,指名競争入札
2007.01.16,伊都産業振興部,農地整備課,地すべり対策事業　西渋田第1 地区　１３号排水路（その２）工事,伊都郡　かつらぎ町,西渋田,地内,岩本組,"5,071,500","3,714,900","4,830,000",20,指名競争入札
2007.01.11,海草産業振興部,農地整備課,広原水路改修工事,和歌山市,吉原,外地内,（株）森口建設,"9,376,500","6,962,130","6,962,130",23,指名競争入札
2007.01.11,西牟婁産業振興部,森林整備課,林地荒廃防止施設災害復旧事業,西牟婁郡　上富田町,岩田,上殿地内,（有）クボタ工事,"45,355,800","30,237,200","43,050,000",20,指名競争入札
2006.12.27,農地整備課,農地整備課,二次診断（安定解析）業務委託,和歌山県全域,,,キタイ設計（株）和歌山事務所,"9,943,500",0,"5,722,500",17,指名競争入札
2006.12.27,日高産業振興部,森林整備課,復旧治山事業測量設計業務委託,日高郡　印南町,古屋,池ノ谷　地内,（有）ヤマニシ,"1,348,200",0,"1,260,000",12,指名競争入札
2006.12.27,日高産業振興部,森林整備課,復旧治山事業測量設計業務委託,日高郡　日高川町,上田原,幸合　地内,（有）成和測量設計事務所,"1,955,100",0,"1,837,500",12,指名競争入札
2006.12.27,日高産業振興部,森林整備課,予防治山事業測量設計業務委託,日高郡　印南町,羽六,研屋　地内,前本技術コンサルタント,"745,500",0,"693,000",12,指名競争入札
2006.12.27,日高産業振興部,森林整備課,県土防災対策治山事業,日高郡　日高川町,大又,小森谷　地内,（有）なかつ,"3,646,650","2,557,800","3,423,000",17,指名競争入札
2006.12.26,伊都産業振興部,森林整備課,測量設計業務委託事業,伊都郡　かつらぎ町,花園中南,地内,（有）第一技研,"926,100",0,"850,500",13,指名競争入札
2006.12.26,伊都産業振興部,農地整備課,畑地帯総合整備事業　河根地区　支線1 号農道法面保護（その６）工事,伊都郡　九度山町,河根,地内,向江組,"13,356,000","9,626,400","12,684,000",12,指名競争入札
2006.12.26,伊都産業振興部,森林整備課,測量設計業務委託事業,伊都郡　かつらぎ町,平,字　中平　地内,長岡測量設計事務所,"1,567,650",0,"1,470,000",12,指名競争入札
"2006,12.25",海草産業振興部,森林整備課,治山事業測量設計業務委託,海草郡　紀美野町,井堰,字奥ノ谷地内,（株）石井コンサルタント,"1,594,950",0,"1,428,000",16,指名競争入札
2006.12.25,有田産業振興部,農村計画課,有田川地区　用水計画検討調査業務,有田市、有田郡 有田川町,,地内,和歌山エンジニヤリング（株）,"1,113,000",0,"1,029,000",10,指名競争入札
2006.12.25,有田産業振興部,農地整備課,田角２期地区　２号承水路その２工事,有田郡　有田川町,田角,地内,丸義組,"10,017,000","7,403,550","9,313,500",23,指名競争入札
2006.12.25,有田産業振興部,農地整備課,須谷第１水槽付帯その２工事,有田市,宮原町　須谷,地内,星畑土木,"777,000",0,"756,000",21,指名競争入札
2006.12.21,水産振興課,水産振興課,広域漁場測量委託業務,西牟婁郡　すさみ町,,沖合,西航空測量（株）,"2,457,000",0,"2,362,500",14,指名競争入札
2006.12.21,水産振興課,水産振興課,増殖場測量及び調査委託業務,西牟婁郡　白浜町,瀬戸,地先,（株）熊野実測,"1,827,000",0,"1,680,000",19,指名競争入札
2006.12.21,西牟婁産業振興部,農地整備課,県営ため池等整備事業　巡谷池地区仮置き盛土保護工事,田辺市,下三栖,中三栖地内,（有）柳生建設,"1,092,000",0,"1,029,000",20,指名競争入札
2006.12.21,西牟婁産業振興部,森林整備課,復旧治山事業測量設計業務委託,田辺市,本宮町　大瀬,政木谷地内,（有）熊野測量設計事務所,"2,000,250",0,"1,837,500",20,指名競争入札
2006.12.21,西牟婁産業振興部,農村計画課,地すべり防止区域上野地区　排水路補修工事,田辺市,上野,地内,（有）志波組,"2,845,500","2,085,300","2,698,500",20,指名競争入札
2006.12.21,西牟婁産業振興部,森林整備課,予防治山事業測量設計業務委託,西牟婁郡　上富田町,岩田,上殿地内,（株）熊野実測,"1,509,900",0,"1,365,000",20,指名競争入札
2006.12.21,西牟婁産業振興部,森林整備課,水源流域広域保全事業測量設計業務委託,田辺市,龍神村　小又川,西ノ河地内,大和測量（株）,"1,505,700",0,"1,365,000",20,指名競争入札
2006.12.21,西牟婁産業振興部,森林整備課,水源流域広域保全事業測量設計業務委託,田辺市,龍神村　小又川,西ノ河地内,堀口測量設計,"2,241,750",0,"2,079,000",20,指名競争入札
2006.12.20,那賀産業振興部,農地整備課,神田排水路調査測量設計業務,紀の川市,桃山町神田,地内,（株）近代技研,"6,300,000",0,"5,796,000",13,指名競争入札
2006.12.20,東牟婁産業振興部,森林整備課,治山事業測量設計業務委託,東牟婁郡　那智勝浦町,大字　小匠,字　土木　地内,（有）熊野路測量設計,"611,100",0,"577,500",11,指名競争入札
2006.12.18,有田産業振興部,森林整備課,治山事業測量設計業務,有田郡　有田川町大字,粟生　字　床倉,地内,（株）中山綜合コンサルタント,"2,018,100",0,"1,890,000",11,指名競争入札
2006.12.13,有田産業振興部,森林整備課,県土防災対策治山事業,有田郡　広川町　大字,下津木　字　野手,地内,林組,"2,468,550",0,"2,341,500",19,指名競争入札
2006.12.13,有田産業振興部,森林整備課,県土防災対策治山事業,有田郡　湯浅町　大字,田　字　南代,地内,渥美土木,"6,241,200","4,214,700","4,214,700",23,指名競争入札
2006.12.13,有田産業振興部,森林整備課,県土防災対策治山事業,有田郡有田川町大字,井谷字ガオレ向,地内,瀬谷組,"2,824,500","1,905,750","2,677,500",19,指名競争入札
2006.12.13,日高産業振興部,農地整備課,津井工区農道付帯工事,日高郡　印南町,津井,地内,ワシン建設（株）,"1,638,000",0,"1,554,000",10,指名競争入札
2006.12.08,東牟婁産業振興部,森林整備課,県土防災対策治山事業,東牟婁郡　古座川町,高池,字　みかん山　地内,関戸組,"502,950",0,"460,950",20,指名競争入札
2006.12.08,東牟婁産業振興部,森林整備課,県土防災対策治山事業,東牟婁郡　串本町,樫野,字　大樫野　地内,企画ＳＨＩＭＡＭＯＴＯ,"993,300",0,"945,000",23,指名競争入札
2006.12.08,東牟婁産業振興部,森林整備課,地すべり防止事業,新宮市,熊野川町宮井,字　奥谷第１　地内,（株）伊藤組,"39,214,350","29,518,230","29,518,230",12,指名競争入札
2006.12.08,東牟婁産業振興部,森林整備課,県土防災対策治山事業,東牟婁郡　古座川町,高池,字　清水　地内,村田建設,"7,272,300","4,794,930","4,794,930",20,指名競争入札
2006.12.08,東牟婁産業振興部,森林整備課,地すべり防止事業,新宮市,熊野川町宮井,字　奥谷第２　地内,（株）共栄建設工業,"29,248,800","22,017,240","22,017,240",12,指名競争入札
2006.12.08,東牟婁産業振興部,森林整備課,地すべり防止事業,新宮市,熊野川町宮井,字　奥谷第３　地内,（株）伊藤組,"26,053,650","19,611,900","19,611,900",12,指名競争入札
2006.12.07,有田産業振興部,農地整備課,吉備地区水路改修その１工事,有田郡　有田川町,庄,地内,（株）丸庄組,"67,462,500","51,763,950","51,763,950",6,条件付一般競争入札
2006.12.01,西牟婁産業振興部,森林整備課,県有林内東屋解体事業　工事,田辺市,龍神村龍神,五百原　県有林　地内,（株）深瀬組,"985,950",0,"913,500",20,指名競争入札
2006.12.01,西牟婁産業振興部,農地整備課,県営ため池調査事業　山谷池・硲中池ボーリング調査業務委託,田辺市,中芳養,白浜町才野地内,（株）白浜試錐,"2,950,500",0,"1,667,400",11,指名競争入札
2006.11.29,日高産業振興部,森林整備課,海岸防災林造成事業,日高郡　印南町,島田,浪際　地内,（有）森川組,"24,619,350","18,617,550","23,383,500",19,指名競争入札
2006.11.29,日高産業振興部,農地整備課,楠井３工区幹線支線農道整備工事,御坊市,名田町　楠井,地内,（株）カクユー,"36,876,000","28,017,150","28,017,150",22,指名競争入札
2006.11.15,那賀産業振興部,農地整備課,安楽川地区幹線１号農道設計ＣＢＲ試験調査業務,紀の川市,桃山町元,地内外,（株）近代技研,"462,000",0,"409,500",11,指名競争入札
2006.11.15,那賀産業振興部,農地整備課,安楽川地区１号排水路兼用道路地質ボーリング調査業務,紀の川市,竹房,地内,拓伸建設（株）,"1,921,500",0,"921,900",11,指名競争入札
2006.11.15,那賀産業振興部,農地整備課,南谷池調査測量設計業務委託,紀の川市,桃山町神田,地内,（株）ウエスコ和歌山営業所,"10,237,500",0,"8,085,000",10,指名競争入札
2006.11.15,那賀産業振興部,農地整備課,安楽川地区幹線排水路１－２工区仮設工設計業務,紀の川市,桃山町市場,地内,（株）メイケン和歌山事務所,"2,751,000",0,"2,478,000",11,指名競争入札
2006.11.15,那賀産業振興部,農地整備課,安楽川地区調査業務,紀の川市,桃山町元,地内外,（株）近代技研,"2,866,500",0,"2,719,500",11,指名競争入札
2006.11.08,有田産業振興部,農地整備課,有田川地区　鳥尾川第２水槽保全対策（その２）工事,有田郡　有田川町,水尻,地内,三洋建設（株）,"6,289,500","4,684,050","4,684,050",23,指名競争入札
2006.11.07,東牟婁産業振興部,農地整備課,県営ため池調査事業,東牟婁郡　古座川町,西川,外　地内,（株）タニガキ建工,"7,654,500",0,"4,903,500",11,指名競争入札
2006.11.01,日高産業振興部,農地整備課,加尾・上野工区法面保護工事,御坊市,名田町　野島・上野,地内,（株）玉井組,"9,471,000","7,092,750","8,977,500",21,指名競争入札
2006.11.01,日高産業振興部,農地整備課,加尾工区幹線農道法面工設計業務,御坊市,名田町　野島,地内,（株）初山,"1,701,000",0,"1,575,000",9,指名競争入札
2006.10.31,東牟婁産業振興部,森林整備課,水源流域広域保全事業,東牟婁郡　古座川町,宇筒井,字　奥山　地内,新清建設,"16,643,550","11,496,240","13,650,000",22,指名競争入札
2006.10.30,西牟婁産業振興部,森林整備課,復旧治山事業,田辺市,中辺路町近露,逢坂地内,（株）横堀組,"16,116,450","11,952,150","15,435,000",20,指名競争入札
2006.10.25,日高産業振興部,森林整備課,水源流域地域保全事業工事,日高郡　日高川町,初湯川,猪谷　地内,（株）児玉組,"9,913,050","6,724,200","9,324,000",20,指名競争入札
2006.10.24,東牟婁産業振興部,森林整備課,復旧治山事業,東牟婁郡　古座川町,松根,字　杉谷　地内,森組,"7,997,850","5,414,010","5,414,010",20,指名競争入札
2006.10.24,東牟婁産業振興部,森林整備課,予防治山事業,東牟婁郡　那智勝浦町,大字　天満,字　後呂地　地内,清水土木,"16,612,050","11,504,640","16,149,000",18,指名競争入札
2006.10.18,海草産業振興部,森林整備課,復旧治山事業,海草郡　紀美野町,滝ノ川,字平浦地内,桐浴建設,"29,715,000","21,203,910","28,297,500",17,指名競争入札
2006.10.18,日高産業振興部,農地整備課,水管橋補修工事,日高郡　日高川町,江川,印南町　山口　地内,（株）竹平建設,"13,272,000","10,026,450","12,474,000",22,指名競争入札
2006.10.18,日高産業振興部,農地整備課,日高川地区　幹線水路改修その６工事,日高郡　日高川町,若野,地内,（株）古部組,"32,686,500","25,167,450","27,825,000",23,指名競争入札
2006.10.17,西牟婁産業振興部,森林整備課,復旧治山事業,田辺市,本宮町野竹,定夕地内,小原建設,"27,940,500","19,875,450","26,250,000",20,指名競争入札
2006.10.11,日高産業振興部,農地整備課,日高川Ⅱ期地区　調査測量設計業務,日高川町若野・小熊,御坊市藤田町,地内,和歌山エンジニヤリング（株）,"21,955,500",0,"9,975,000",16,指名競争入札
2006.10.10,東牟婁産業振興部,森林整備課,予防治山事業,東牟婁郡　古座川町,平井,字　下向山　地内,（有）土井建設,"19,106,850","13,329,960","16,800,000",22,指名競争入札
2006.09.28,有田産業振興部,森林整備課,予防治山事業,有田郡　有田川町,大字清水字西の谷,地内,辻井組,"15,555,750","10,735,200","14,805,000",24,指名競争入札
2006.09.28,有田産業振興部,農地整備課,田殿第４水槽更新工事,有田郡　有田川町,井口,地内,三洋建設（株）,"31,878,000","25,359,600","30,870,000",21,指名競争入札
2006.09.28,有田産業振興部,農地整備課,有田川地区　揚水機場保全計画業務,有田市、,有田郡有田川町,地内,内外エンジニアリング（株）和歌山営業所,"9,397,500",0,"7,980,000",13,指名競争入札
2006.09.28,有田産業振興部,農地整備課,有田川地区　鳥尾川第１水槽保全対策工事,有田郡　有田川町,小島,地内,（有）アール企画,"8,589,000","6,447,000","6,447,000",23,指名競争入札
2006.09.28,有田産業振興部,農地整備課,有田川地区　鳥尾川第２水槽保全対策工事,有田郡　有田川町,水尻,地内,桑原工務店,"8,368,500","6,275,850","6,275,850",23,指名競争入札
2006.09.28,有田産業振興部,農地整備課,有田川地区　鳥尾川第３水槽保全対策工事,有田市,糸我町　中番,地内,（株）松原造園土木,"8,956,500","6,723,150","6,723,150",23,指名競争入札
2006.09.26,海草産業振興部,森林整備課,復旧治山事業,海草郡　紀美野町,長谷宮,字柳生谷地内,中前組,"35,705,250","25,632,180","33,547,500",20,指名競争入札
2006.09.26,海草産業振興部,農地整備課,２次診断（土質調査）業務,和歌山市（弘西）・,海南市（木津）・,紀美野町安井外地内,（株）エイトコンサルタント和歌山支店,"9,313,500",0,"8,295,000",20,指名競争入札
2006.09.26,海草産業振興部,森林整備課,予防治山事業,海草郡　紀美野町,円明寺,字居垣内地内,上北組,"15,066,450","10,379,880","14,532,000",17,指名競争入札
2006.09.21,那賀産業振興部,農地整備課,安楽川地区幹線排水路下流部１－２工区工事,紀の川市,桃山町市場,地内,第五工業（株）,"345,964,500","273,710,850","273,710,850",15,条件付一般競争入札
2006.09.20,伊都産業振興部,農地整備課,畑地帯総合整備事業　河根地区　用地測量（その１）委託業務,伊都郡　九度山町,河根,地内,（株）キワコンサルタント,"3,832,500",0,"3,633,000",15,指名競争入札
2006.09.20,伊都産業振興部,農地整備課,地すべり対策事業　西渋田第１地区　１２号排水路用地測量委託業務,伊都郡　かつらぎ町,西渋田,地内,（有）三宅測量設計,"1,701,000",0,"1,606,500",13,指名競争入札
2006.09.20,伊都産業振興部,農地整備課,畑地帯総合整備事業　河根地区　支線１号農道法面保護（その5 ）工事,伊都郡　九度山町,河根,地内,奈和建設（株）,"24,633,000","17,980,200","23,362,500",13,指名競争入札
2006.09.20,伊都産業振興部,森林整備課,水源流域地域保全事業,伊都郡　高野町,花坂,地内,広門興業,"11,826,150","8,040,900","11,513,250",19,指名競争入札
2006.09.20,伊都産業振興部,農地整備課,畑地帯総合整備事業　河根地区　耕作道3 号農道法面保護工事,伊都郡　九度山町,河根,地内,向江組,"18,879,000","13,700,400","17,934,000",13,指名競争入札
2006.09.20,伊都産業振興部,農地整備課,地すべり対策事業　西渋田第１地区　５－２号承水路（その３）工事,伊都郡　かつらぎ町,西渋田,地内,（株）辻本組,"35,973,000","27,321,000","34,020,000",20,指名競争入札
2006.09.20,伊都産業振興部,農地整備課,地すべり対策事業　西渋田第1 地区　概成調査委託業務,伊都郡　かつらぎ町,西渋田,地内,ワコウコンサルタント（株）,"8,704,500",0,"6,300,000",15,指名競争入札
2006.09.20,伊都産業振興部,農地整備課,地すべり対策事業　西渋田第１地区　４号承水路（その６）工事,伊都郡　かつらぎ町,西渋田,地内,（株）小西建設,"21,220,500","16,025,100","20,632,500",20,指名競争入札
2006.09.20,西牟婁産業振興部,森林整備課,林地荒廃防止施設災害復旧事業調査測量設計業務委託,西牟婁郡　上富田町,岩田,上殿　地内,国土防災技術（株）和歌山営業所,"17,291,400",0,"15,750,000",15,指名競争入札
2006.09.19,西牟婁産業振興部,農地整備課,県営ため池等整備事業　巡谷池調査測量設計業務,田辺市,稲成町,下組　地内,（株）中山綜合コンサルタント,"12,631,500",0,"11,550,000",13,指名競争入札
2006.09.19,西牟婁産業振興部,農地整備課,県営中山間総合整備事業　日向地区全体実施設計業務委託,田辺市,上芳養,地内,日技クラウン（株）京都支店,"63,157,500",0,"59,850,000",14,指名競争入札
2006.09.19,西牟婁産業振興部,農地整備課,県営中山間総合整備事業　日向地区調査ボーリング業務委託,田辺市,上芳養,地内,（株）白浜試錐,"17,692,500",0,"8,284,500",11,指名競争入札
2006.09.13,海草産業振興部,森林整備課,復旧治山事業,海草郡　紀美野町,毛原上,字小金岩地内,中谷組,"10,088,400","6,826,050","9,670,500",19,指名競争入札
2006.09.13,海草産業振興部,森林整備課,復旧治山事業,海草郡　紀美野町,毛原下,字山戸地内,木元組,"18,203,850","12,669,090","17,430,000",18,指名競争入札
2006.09.13,那賀産業振興部,農地整備課,新池堤体改修（その２）工事,紀の川市,貴志川町長山,地内,（株）二沢組,"27,531,000","20,202,000","26,197,500",20,指名競争入札
2006.09.11,有田産業振興部,農地整備課,田角2 期地区　3 号承水路その3 工事,有田郡　有田川町,田角,地内,柏原建設,"6,982,500","5,135,550","6,772,500",20,指名競争入札
2006.09.11,有田産業振興部,農地整備課,田殿第１水槽付帯工事,有田郡　有田川町,大谷,地内,柏原建設,"976,500",0,"955,500",20,指名競争入札
2006.09.11,有田産業振興部,農地整備課,須谷第１水槽付帯工事,有田市,宮原町　須谷,地内,阪本建設,"1,564,500",0,"1,512,000",20,指名競争入札
2006.09.05,伊都産業振興部,農村計画課,中山間地域活性化総合対策吉原地区計画作成委託業務,橋本市,吉原,地内,（株）近代技研,"3,265,500",0,"3,087,000",11,指名競争入札
2006.09.01,水産振興課,水産振興課,広域漁場整備工事,東牟婁郡　串本町,樫野,沖合,（株）小森組,"50,788,500","42,709,800","46,200,000",14,条件付一般競争入札
2006.09.01,水産振興課,水産振興課,増殖礁製作・設置工事,田辺市,目良,地内,ワシン建設（株）,"51,208,500","39,387,600","45,885,000",18,条件付一般競争入札
2006.09.01,日高産業振興部,農地整備課,疎口池地区堤体改修工事,日高郡　日高町,池田,地内,和興建設（株）,"185,451,000","141,807,750","134,809,500",18,条件付一般競争入札
2006.08.30,日高産業振興部,農地整備課,当田・オクボ水槽補修工事,日高郡　日高川町,,地内,タカラ塗装店,"19,782,000","15,006,600","15,006,600",20,指名競争入札
2006.08.30,日高産業振興部,農地整備課,農業水利施設保全計画策定その５業務,日高郡　日高川町,,地内,日技クラウン（株）京都支店,"8,053,500",0,"5,722,500",9,指名競争入札
2006.08.30,日高産業振興部,農地整備課,弥谷池地区測量設計業務,日高郡　日高川町,小熊,地内,（株）中山綜合コンサルタント,"11,686,500",0,"11,025,000",10,指名競争入札
2006.08.30,東牟婁産業振興部,森林整備課,復旧治山事業,新宮市,熊野川町宮井,字　ウソ嶋　地内,中平建設,"33,453,000","24,011,400","32,445,000",23,指名競争入札
2006.08.29,西牟婁産業振興部,森林整備課,予防治山事業,田辺市,谷野口,小硲　地内,佐古建設（株）,"35,122,500","25,251,450","34,020,000",20,指名競争入札
2006.08.28,有田産業振興部,農地整備課,田角３期地区　２号鋼管杭その２工事,有田郡　有田川町,田角,地内,（株）タニガキ建工,"63,283,500","47,076,750","47,076,750",5,条件付一般競争入札
2006.08.23,日高産業振興部,農地整備課,楠井３工区区画整理工事,御坊市,名田町　楠井,地内,出口組,"47,670,000","35,488,950","45,159,450",22,指名競争入札
2006.08.23,日高産業振興部,農地整備課,硲間池地区堤体改修工事,日高郡　日高川町,平川,地内,（株）中村建設,"41,779,500","31,396,050","34,650,000",23,指名競争入札
2006.08.22,西牟婁産業振興部,森林整備課,林地荒廃防止施設災害復旧事業（応急本工事）,西牟婁郡　上富田町,岩田,上殿　地内,（株）清本組,"63,588,000","48,622,350","61,635,000",26,指名競争入札
2006.08.18,日高産業振興部,畜産課,畜産育成公社跡地災害復旧工事,日高郡　印南町,美里字沼ノ浦,地内,明和建設（株）,"1,611,750",0,"1,281,000",18,指名競争入札
2006.08.16,西牟婁産業振興部,農地整備課,海岸保全施設設計業務,田辺市,新庄町,,（株）ウエスコ和歌山営業所,"2,562,000",0,"2,362,500",18,指名競争入札
2006.08.11,西牟婁産業振興部,森林整備課,予防治山事業,田辺市,下川下,田井中地内,向井建設,"17,042,550","11,818,800","16,590,000",20,指名競争入札
2006.08.11,西牟婁産業振興部,森林整備課,復旧治山事業,田辺市,中辺路町近露,逢坂地内,（有）アセスメント,"16,210,950","11,211,900","15,435,000",20,指名競争入札
2006.08.09,日高産業振興部,農地整備課,楠井３工区幹線農道整備工事,御坊市,名田町　楠井,地内,（有）稲垣,"21,378,000","16,144,800","20,265,000",19,指名競争入札
2006.08.09,日高産業振興部,森林整備課,予防治山事業,日高郡　日高川町,寒川,朔日西原地内,（有）田村組,"8,923,950","6,046,950","8,639,400",21,指名競争入札
2006.08.09,日高産業振興部,森林整備課,復旧治山事業,日高郡　日高川町,寒川,東谷地内,坂本組,"27,523,650","19,625,550","26,145,000",18,指名競争入札
2006.08.08,有田産業振興部,森林整備課,復旧治山事業,有田郡　有田川町,粟生,地内,中川組,"12,966,450","8,859,900","12,495,000",22,指名競争入札
2006.08.08,有田産業振興部,森林整備課,復旧治山事業,有田郡　有田川町,大字粟生字檜島,地内,（株）辻本組,"34,997,550","25,174,800","33,600,000",22,指名競争入札
2006.08.02,東牟婁産業振興部,森林整備課,地すべり防止事業,新宮市,熊野川町宮井,字奥谷第4 　地内,福本工務店,"29,888,250","21,342,090","29,137,500",18,指名競争入札
2006.08.01,東牟婁産業振興部,森林整備課,水源流域地域保全事業,東牟婁郡　串本町,佐部,字大畑谷第1 　地内,見瀬組,"46,698,750","34,057,590","34,057,590",20,指名競争入札
2006.08.01,東牟婁産業振興部,森林整備課,復旧治山事業,東牟婁郡　那智勝浦町,大字長井,字長平　地内,岡山組,"15,677,550","10,824,870","15,277,500",18,指名競争入札
2006.07.26,那賀産業振興部,農地整備課,震災対策ため池土質調査その２業務委託,紀の川市,北勢田,地内　外,（株）タニガキ建工,"6,279,000",0,"2,698,500",11,指名競争入札
2006.07.18,伊都産業振興部,農地整備課,中山間地域ほ場環境整備モデル事業　中古沢地区　中古沢地区農道整備工事,伊都郡　九度山町,中古沢,地内,紀伊建設（株）,"18,060,000","13,696,200","17,167,500",19,指名競争入札
2006.07.18,伊都産業振興部,森林整備課,復旧治山事業,伊都郡　かつらぎ町,大字花園久木,字吉井地内,福本組,"26,374,950","18,708,900","24,990,000",20,指名競争入札
2006.07.12,有田産業振興部,農地整備課,糸我町新池地区ボーリング調査業務,有田市,糸我町　中番,地内,（株）武田基礎調査,"1,554,000",0,"682,500",10,指名競争入札
2006.07.12,日高産業振興部,農地整備課,硲間池地区土取場測量設計業務,日高郡　日高川町,三百瀬,地内,（株）小池組,"3,087,000",0,"2,919,000",11,指名競争入札
2006.07.12,日高産業振興部,森林整備課,予防治山事業,日高郡　日高川町,初湯川,洞　地内,（有）ミヤマ工業,"29,993,250","21,411,600","28,486,500",19,指名競争入札
2006.07.12,日高産業振興部,森林整備課,復旧治山事業,日高郡　印南町,古屋,池ノ谷　地内,（有）新紀建設,"28,053,900","19,961,550","26,649,000",18,指名競争入札
2006.07.06,西牟婁産業振興部,森林整備課,特定流域総合治山事業,田辺市,中辺路町道湯川,広田　地内,渡瀬組,"7,353,150","5,374,950","7,066,500",21,指名競争入札
