平成２２年４月１日から平成２３年３月３１日までの分,,,,,,,,,,,,
開札日,執行課名,事業担当課名,工事名,工事場所１市区町村,工事場所１地名１,工事場所１地名２,契約業者名, 予定価格 , 最低制限価格若しくは調査基準価格 , 落札価格 , 指名業者数 ,入札形式
20110316,日高地域振興部,森林整備課,予防治山事業測量設計業務委託(予防第18号-1)　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高川町　　,大字上初湯川字追谷　,地内　　　　　　　　,（有）ヤマニシ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 2,169,300 "," 1,608,258 "," 2,005,500 ", 3 ,条件付一般競争入札
20110303,西牟婁地域振興部,森林整備課,地域防災対策総合治山事業設計業務(地防第1号-9)　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,上秋津宇井田　　　　,地内　　　　　　　　,（株）果無　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 547,050 "," 419,727 "," 525,000 ", 5 ,条件付一般競争入札
20110303,西牟婁地域振興部,森林整備課,地域防災対策総合治山事業測量業務(地防第1号-10)　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,秋津川中通　　　　　,地内　　　　　　　　,（有）南紀測量　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 910,350 "," 666,338 "," 813,750 ", 6 ,条件付一般競争入札
20110303,西牟婁地域振興部,森林整備課,地域防災対策総合治山事業測量業務(地防第1号-11)　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,上秋津下左向　　　　,地内　　　　　　　　,紀勢測量　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 766,500 "," 549,596 "," 685,650 ", 8 ,条件付一般競争入札
20110301,有田地域振興部,農業農村整備課,谷池地区ため池改修付帯工事　　　　　　　　　　　　　　　　　　　　　　　　　　　,有田郡　有田川町　　,水尻　　　　　　　　,地内　　　　　　　　,有田建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 2,226,000 "," 1,865,707 "," 1,865,850 ", 43 ,条件付一般競争入札
20110214,那賀地域振興部,森林整備課,根来山げんきの森進入路改良事業（げんきの森第1号）　　　　　　　　　　　　　　　　　　　　　　　　　,岩出市　　　　　　　,根来　　　　　　　　,地内　　　　　　　　,（株）﨑山組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 7,093,800 "," 6,000,231 "," 6,405,000 ", 5 ,条件付一般競争入札
20110210,西牟婁地域振興部,農業農村整備課,紀南地域農地海岸地質調査その２業務　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,新庄町　　　　　　　,地内　　　　　　　　,（有）熊野路測量設計　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 756,000 "," 607,257 "," 664,650 ", 5 ,条件付一般競争入札
20110208,有田地域振興部,農業農村整備課,畦田２期地区２号承水路その２工事　　　　　　　　　　　　　　　　　　　　　　　　,有田郡　有田川町　　,瀬井　　　　　　　　,地内　　　　　　　　,（株）天神　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 4,168,500 "," 3,565,381 "," 3,581,518 ", 4 ,条件付一般競争入札
20110203,西牟婁地域振興部,農業農村整備課,日向地区進入道路法面設計業務　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,上芳養　　　　　　　,地内　　　　　　　　,（株）国土開発センター和歌山営業所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 1,995,000 "," 1,497,594 "," 1,542,450 ", 7 ,条件付一般競争入札
20110203,西牟婁地域振興部,農業農村整備課,日向地区進入道路法面調査業務　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,上芳養　　　　　　　,地内　　　　　　　　,（株）白浜試錐　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 2,205,000 "," 1,795,802 "," 1,874,250 ", 4 ,条件付一般競争入札
20110202,西牟婁地域振興部,農業農村整備課,日向地区ほ場園内整備その４工事　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,上芳養　　　　　　　,地内　　　　　　　　,三十三土木　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 1,659,000 "," 1,412,979 "," 1,522,500 ", 5 ,条件付一般競争入札
20110202,東牟婁地域振興部,農業農村整備課,千穂ヶ峯遊歩道災害復旧工事　　　　　　　　　　　　　　　　　　　　　　　　　　　,新宮市　　　　　　　,新宮（外）　　　　　,地内　　　　　　　　,協新工業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 1,363,950 "," 1,151,747 "," 1,168,125 ", 12 ,条件付一般競争入札
20110124,那賀地域振興部,農業農村整備課,下丹生谷地区　事業計画書作成その２業務　　　　　　　　　　　　　　　　　　　　　,紀の川市　　　　　　,下丹生谷　　　　　　,地内　　　　　　　　,ＮＴＣコンサルタンツ（株）和歌山営業所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 1,806,000 "," 1,374,368 "," 1,680,000 ", 2 ,条件付一般競争入札
20110121,東牟婁地域振興部,森林整備課,地すべり防止事業(地すべり第1号-5)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,新宮市　　　　　　　,熊野川町宮井　　　　,字奥谷第３地内　　　,熊野川開発　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 17,449,950 "," 14,608,791 "," 14,623,350 ", 8 ,条件付一般競争入札
20110119,日高地域振興部,農業農村整備課,うめ研究所倉庫新築工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　みなべ町　　,東本庄　　　　　　　,地内　　　　　　　　,土井建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 1,573,950 "," 1,406,639 "," 1,407,000 ", 4 ,条件付一般競争入札
20110119,西牟婁地域振興部,農業農村整備課,日向地区ほ場園内整備その５工事　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,上芳養　　　　　　　,地内　　　　　　　　,（株）谷川建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 651,000 "," 546,840 "," 585,889 ", 2 ,条件付一般競争入札
20110119,西牟婁地域振興部,農業農村整備課,鳥の巣地区水門補修工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,新庄町　　　　　　　,地内　　　　　　　　,（株）斉藤鐵工所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 3,916,500 "," 3,424,995 "," 3,885,000 ", 1 ,条件付一般競争入札
20110119,西牟婁地域振興部,森林整備課,"第６２回全国植樹祭式典会場整備事業　
第６２回全国植樹祭関係整備事業(植樹祭第1号)　　　　　　",田辺市　　　　　　　,たきない町　　　　　,地内　　　　　　　　,楠本土木　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 3,323,250 "," 2,770,984 "," 2,793,000 ", 13 ,条件付一般競争入札
20110117,那賀地域振興部,農業農村整備課,１号農道整備（その１）工事　　　　　　　　　　　　　　　　　　　　　　　　　　　,紀の川市　　　　　　,貴志川町北山　　　　,地内　　　　　　　　,柏木組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 5,533,500 "," 4,726,568 "," 4,803,750 ", 4 ,条件付一般競争入札
20110114,海草地域振興部,農業農村整備課,和歌山３期地区　下津工区保全計画業務　　　　　　　　　　　　　　　　　　　　　　,海南市　　　　　　　,下津町方　　　　　　,地内　　　　　　　　,（株）ウエスコ和歌山営業所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 13,272,000 "," 9,996,372 "," 10,237,500 ", 7 ,条件付一般競争入札
20110114,海草地域振興部,農業農村整備課,中田地区排水路測量設計業務　　　　　　　　　　　　　　　　　　　　　　　　　　　,海草郡　紀美野町　　,中田　　　　　　　　,地内　　　　　　　　,（株）データ技研　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 9,145,500 "," 6,807,433 "," 6,882,750 ", 12 ,条件付一般競争入札
20110114,海草地域振興部,農業農村整備課,中田地区地すべり調査観測その２業務　　　　　　　　　　　　　　　　　　　　　　　,海草郡　紀美野町　　,中田　　　　　　　　,地内　　　　　　　　,（株）タニガキ建工　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 6,636,000 "," 5,330,232 "," 5,534,550 ", 7 ,条件付一般競争入札
20110112,海草地域振興部,森林整備課,県土防災対策治山事業(県防第17号)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,海草郡　紀美野町　　,長谷宮　　　　　　　,字　月ノ盛地内　　　,（有）ミナミ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 2,500,050 "," 2,071,650 "," 2,467,500 ", 2 ,条件付一般競争入札
20110111,水産振興課,水産振興課,栽培漁業センター解体撤去付帯工事　　　　　　　　　　　　　　　　　　　　　　　　,東牟婁郡　那智勝浦町,勝浦　　　　　　　　,地内　　　　　　　　,荏原実業（株）大阪支社　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 16,503,900 "," 14,435,550 "," 16,212,000 ", 1 ,条件付一般競争入札
20110107,西牟婁地域振興部,森林整備課,地域防災対策総合治山事業測量業務(地防第1号-8)　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,上秋津宇井田　　　　,地内　　　　　　　　,大和測量（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 454,650 "," 319,365 "," 420,000 ", 4 ,条件付一般競争入札
20110106,西牟婁地域振興部,農業農村整備課,畜産試験場場内整備工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,西牟婁郡　すさみ町　,見老津　　　　　　　,地内　　　　　　　　,（有）塩飽建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 2,835,000 "," 2,394,088 "," 2,698,500 ", 2 ,条件付一般競争入札
20101227,那賀地域振興部,農林水産総務課,県農業試験場内用水管改修工事　　　　　　　　　　　　　　　　　　　　　　　　　　,紀の川市　　　　　　,貴志川町高尾　　　　,地内　　　　　　　　,松本組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 19,393,500 "," 16,550,919 "," 16,772,700 ", 6 ,条件付一般競争入札
20101227,伊都地域振興部,農業農村整備課,中山間総合農地防災事業　恋野地区設計その２業務　　　　　　　　　　　　　　　　　,橋本市　　　　　　　,恋野　　　　　　　　,地内　　　　　　　　,（有）三木測量設計事務所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 1,155,000 "," 885,830 "," 887,880 ", 11 ,条件付一般競争入札
20101227,伊都地域振興部,農業農村整備課,中山間総合農地防災事業　恋野地区測量その２業務　　　　　　　　　　　　　　　　　,橋本市　　　　　　　,恋野　　　　　　　　,地内　　　　　　　　,（有）ＮＡＯ企画　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 1,060,500 "," 747,847 "," 954,450 ", 9 ,条件付一般競争入札
20101227,伊都地域振興部,農業農村整備課,中山間総合農地防災事業　恋野地区土質調査その２業務　　　　　　　　　　　　　　　,橋本市　　　　　　　,恋野　　　　　　　　,・只野地内　　　　　,ワコウコンサルタント（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 1,659,000 "," 1,408,008 "," 1,410,150 ", 13 ,条件付一般競争入札
20101227,東牟婁地域振興部,森林整備課,予防治山事業(予防第11号-3)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,東牟婁郡　古座川町　,川口　　　　　　　　,字大山地内　　　　　,（有）和深建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 17,546,550 "," 14,706,228 "," 14,744,100 ", 8 ,条件付一般競争入札
20101227,東牟婁地域振興部,森林整備課,県土防災対策治山事業(県防第15号-1)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,東牟婁郡　那智勝浦町,西中野川　　　　　　,字上之久保地内　　　,福本工務店　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 7,100,100 "," 5,873,875 "," 5,875,579 ", 16 ,条件付一般競争入札
20101224,西牟婁地域振興部,農業農村整備課,日向地区幹線道路舗装その２工事　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,上芳養　　　　　　　,地内　　　　　　　　,（株）中井組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 10,374,000 "," 8,830,107 "," 9,870,000 ", 2 ,条件付一般競争入札
20101224,西牟婁地域振興部,森林整備課,地域防災対策総合治山事業(地防第1号-7)　　　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,上秋津　　　　　　　,川中口地内　　　　　,（有）ワークス　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 28,368,900 "," 23,968,690 "," 26,880,000 ", 6 ,条件付一般競争入札
20101222,東牟婁地域振興部,森林整備課,県土防災対策治山事業(県防第11号-1)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,新宮市　　　　　　　,熊野川町宮井　　　　,字ウソ嶋地内　　　　,（有）中川建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 1,348,200 "," 1,126,251 "," 1,127,700 ", 13 ,条件付一般競争入札
20101222,東牟婁地域振興部,森林整備課,県土防災対策治山事業(県防第13号-1)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,東牟婁郡　串本町　　,大島字田代　　　　　,地内　　　　　　　　,（有）上地組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 2,408,700 "," 2,025,118 "," 2,394,000 ", 1 ,条件付一般競争入札
20101221,那賀地域振興部,森林整備課,緑花センター鉄製遊具設置工事(緑花センタ第1号)　　　　　　　　　　　　　　　　　　　　　　　　　　,岩出市　　　　　　　,東坂本　　　　　　　,地内　　　　　　　　,（有）杉建　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 2,480,100 "," 2,218,697 "," 2,242,800 ", 2 ,条件付一般競争入札
20101221,伊都地域振興部,農業農村整備課,牛滝丁石地蔵を訪ねるみち標識設置工事　　　　　　　　　　　　　　　　　　　　　　,伊都郡　かつらぎ町　,平　　　　　　　　　,地内外　　　　　　　,向江組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 3,265,500 "," 2,788,461 "," 2,798,128 ", 11 ,条件付一般競争入札
20101217,農業農村整備課,農業農村整備課,二次診断（安定解析）業務委託　　　　　　　　　　　　　　　　　　　　　　　　　　,和歌山県内　　　　　,　　　　　　　　　　,地内　　　　　　　　,アジア航測（株）和歌山営業所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 6,720,000 "," 4,920,589 "," 5,050,500 ", 9 ,条件付一般競争入札
20101217,東牟婁地域振興部,農業農村整備課,滝の拝園地（外）整備工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　,東牟婁郡　古座川町　,小川（外）　　　　　,地内　　　　　　　　,（株）関本工務店　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 9,511,950 "," 7,957,168 "," 7,982,100 ", 7 ,条件付一般競争入札
20101215,西牟婁地域振興部,森林整備課,県土防災対策治山事業(県防第18号)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,伏菟野　　　　　　　,目吉良地内　　　　　,出口土木　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 1,911,000 "," 1,603,022 "," 1,911,000 ", 5 ,条件付一般競争入札
20101208,日高地域振興部,農業農村整備課,日高地区畑地かんがい施設取水量検討調査業務　　　　　　　　　　　　　　　　　　　,日高郡　日高川町　　,和佐　　　　　　　　,地先　　　　　　　　,（有）熊野路測量設計　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 2,173,500 "," 1,658,937 "," 1,670,550 ", 10 ,条件付一般競争入札
20101208,日高地域振興部,農業農村整備課,北吉田地区　全体基本計画策定業務　　　　　　　　　　　　　　　　　　　　　　　　,御坊市　　　　　　　,藤田町　吉田　　　　,地内　　　　　　　　,（株）初山　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 3,171,000 "," 2,343,033 "," 2,822,400 ", 6 ,条件付一般競争入札
20101207,日高地域振興部,森林整備課,予防治山事業(予防第7号-4)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高川町　　,大字三佐字本川谷　　,地内　　　　　　　　,（株）児玉組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 49,927,500 "," 43,141,994 "," 43,394,400 ", 15 ,条件付一般競争入札（総合評価）
20101202,西牟婁地域振興部,農業農村整備課,滝内地区海岸保全区域台帳更新その１業務　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,新庄町　　　　　　　,　地内　　　　　　　,（有）牟?測量設計　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 4,336,500 "," 3,335,336 "," 3,858,750 ", 10 , 条件付一般競争入札 
20101202,西牟婁地域振興部,農業農村整備課,畜産試験場法面補修工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,西牟婁郡　すさみ町　,見老津　　　　　　　,地内　　　　　　　　,千鳥建設（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 7,833,000 "," 6,651,521 "," 6,655,950 ", 18 , 条件付一般競争入札 
20101201,海草地域振興部,農業農村整備課,生石高原遊歩道整備工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,海草郡　紀美野町　　,中田　　　　　　　　,地内　　　　　　　　,宇恵組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 745,500 "," 640,542 "," 707,700 ", 1 ,条件付一般競争入札
20101126,東牟婁地域振興部,森林整備課,治山事業調査業務委託(県防第10号-1)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,新宮市　　　　　　　,熊野川町宮井　　　　,字奥谷外地内　　　　,アジア航測（株）和歌山営業所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 4,578,000 "," 4,074,877 "," 4,084,500 ", 2 ,条件付一般競争入札
20101125,西牟婁地域振興部,森林整備課,予防治山事業(予防第14号-2)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,本宮町静川朴ノ木　　,地内　　　　　　　　,（有）クボタ工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 27,658,050 "," 23,215,153 "," 23,342,760 ", 25 ,条件付一般競争入札
20101124,日高地域振興部,農業農村整備課,油河池地区堤体改修工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高町　　　,原谷　　　　　　　　,地内　　　　　　　　,（株）小林建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 122,997,000 "," 102,533,158 "," 122,850,000 ", 1 ,条件付一般競争入札（総合評価）
20101124,日高地域振興部,森林整備課,予防治山事業(予防第7号-5)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高川町　　,　大字三佐　字本川谷,地内　　　　　　　　,新田組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 20,774,250 "," 17,672,685 "," 17,703,000 ", 18 ,条件付一般競争入札
20101119,伊都地域振興部,森林整備課,予防治山事業(予防第4号-3)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,伊都郡　かつらぎ町　,大字花園梁瀬　　　　,字栂尾地内　　　　　,楠本工務店　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 18,777,150 "," 15,681,456 "," 17,743,950 ", 3 ,条件付一般競争入札
20101118,西牟婁地域振興部,森林整備課,復旧治山事業(復旧第7号-2)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,本宮町野竹　　　　　,定夕地内　　　　　　,佐古建設（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 27,135,150 "," 22,997,100 "," 23,111,550 ", 3 ,条件付一般競争入札
20101117,日高地域振興部,森林整備課,予防治山事業(予防第6号-3)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高川町　　,大字平川　　　　　　,字彦大地内　　　　　,青貝建築　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 9,777,600 "," 8,125,866 "," 8,137,500 ", 9 ,条件付一般競争入札
20101117,日高地域振興部,森林整備課,予防治山事業(予防第9号-3)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　みなべ町　　,西本庄　字　宮　　　,地内　　　　　　　　,かごはた重機　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 9,637,950 "," 8,033,175 "," 8,047,200 ", 3 ,条件付一般競争入札
