開札日,執行課名,事業担当課名,発注年度,工事番号名,工事名,工事場所１市区町村,工事場所１地名１,工事場所１地名２,契約業者名,予定価格,最低制限価格若しくは調査基準価格,落札価格,指名業者数,入札形式
20090302,那賀産業振興部,農業農村整備課,平成20年度,ため調第1号-2,震災対策ため池土質調査その２業務委託　　　　　　　　　　　　　　　　　　　　　　,紀の川市　　　　　　,桃山町調月　　　　　,地内　　　　　　　　,（株）タニガキ建工　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,1449000,1026471,1026471,7,条件付一般競争入札
20090219,那賀産業振興部,農業農村整備課,平成20年度,畑総第4号-5,安楽川地区幹線１号農道舗装その３工事　　　　　　　　　　　　　　　　　　　　　　,紀の川市　　　　　　,桃山町元　　　　　　,神田、竹房地内　　　,（株）天野組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,13429500,10840911,11098500,5,条件付一般競争入札
20090219,那賀産業振興部,農業農村整備課,平成20年度,畑総第4号-6,安楽川地区幹線農道整備工事　　　　　　　　　　　　　　　　　　　　　　　　　　　,紀の川市　　　　　　,桃山町神田　　　　　,地内　　　　　　　　,（株）天野組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,5712000,4638480,4662000,5,条件付一般競争入札
20090216,伊都産業振興部,農業農村整備課,平成20年度,ため調第5号-1,県営ため池調査事業　芦ヶ谷池地区他ボーリング調査業務　　　　　　　　　　　　　　,橋本市　　　　　　　,　　　　　　　　　　,吉原・恋野地内　　　,紀東工営（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,4525500,3205864,3212199,8,条件付一般競争入札
20090209,伊都産業振興部,森林整備課,平成20年度,水地第1号-7,水源流域地域保全事業　測量設計業務　　　　　　　　　　　　　　　　　　　　　　　,伊都郡　かつらぎ町　,大字花園久木　　　　,地内　　　　　　　　,ワコウコンサルタント（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,1293600,896049,904194,9,条件付一般競争入札
20090204,西牟婁産業振興部,森林整備課,平成20年度,事務測第6号-1,復旧治山事業測量設計業務委託　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,本宮町大瀬政木　　　,地内　　　　　　　　,菅根測量（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,2271150,1549957,1816500,23,条件付一般競争入札
20090204,西牟婁産業振興部,森林整備課,平成20年度,事務測第6号-2,予防治山事業測量設計業務委託　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,龍神村殿原小原　　　,地内　　　　　　　　,（株）南紀航測センター　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,1970850,1344183,1382785,23,条件付一般競争入札
20090129,海草産業振興部,農業農村整備課,平成20年度,地すべり第5号-6,永谷地区　付帯工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,海草郡　紀美野町　　,永谷　　　　　　　　,地内　　　　　　　　,油谷土木　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,3727500,2955597,3528000,3,条件付一般競争入札
20090129,海草産業振興部,農業農村整備課,平成20年度,新水保第1号-4,広原水路改修付帯工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,広原外　　　　　　　,地内　　　　　　　　,五大建設工業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,3685500,2982136,3129000,3,条件付一般競争入札
20090129,那賀産業振興部,農業農村整備課,平成20年度,中山間第2号-4,農業用水施設設計（その１）業務　　　　　　　　　　　　　　　　　　　　　　　　　,紀の川市　　　　　　,貴志川町北山　　　　,地内　　　　　　　　,アジア航測（株）和歌山営業所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,9481500,6524220,6544131,8,条件付一般競争入札
20090127,那賀産業振興部,農業農村整備課,平成20年度,畑総第4号-4,安楽川地区幹線排水路沿線家屋事後調査その１業務　　　　　　　　　　　　　　　　　,紀の川市　　　　　　,桃山町市場　　　　　,地内　　　　　　　　,（株）三和綜合コンサル和歌山支店　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,4284000,5,2958900,17,条件付一般競争入札
20090116,西牟婁産業振興部,農業農村整備課,平成20年度,ため調第6号-1,新（上）池ボーリング調査業務委託　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,中三栖　　　　　　　,地内　　　　　　　　,（株）世紀工業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,2100000,1437660,1439130,8,条件付一般競争入札
20090114,那賀産業振興部,農業農村整備課,平成20年度,畑総第4号-2,安楽川地区　幹線１号農道設計ＣＢＲ試験調査業務　　　　　　　　　　　　　　　　　,紀の川市　　　　　　,桃山町元　　　　　　,地内外　　　　　　　,（有）熊野路測量設計　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,535500,372975,380205,5,条件付一般競争入札
20090113,有田産業振興部,農業農村整備課,平成20年度,ため調第3号-2,光明寺池・菖蒲谷池ボーリング調査業務　　　　　　　　　　　　　　　　　　　　　　,有田郡　広川町　　　,山本　及び　　　　　,有田川町中井原地内　,（株）タニガキ建工　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,4924500,3460938,3467832,12,条件付一般競争入札
20090113,有田産業振興部,農業農村整備課,平成20年度,畑総第6号-50,田殿工区進入路測量設計業務　　　　　　　　　　　　　　　　　　　　　　　　　　　,有田郡　有田川町　　,田口　　　　　　　　,地内　　　　　　　　,（株）初山　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,2100000,1512630,1785000,24,条件付一般競争入札
20090108,海草産業振興部,農業農村整備課,平成20年度,ため調第4号-1,２次診断（土質調査）業務　　　　　　　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,六十谷字天神崎・　　,海南市且来地内　　　,（有）熊野路測量設計　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,3171000,2153109,2197503,13,条件付一般競争入札
20090108,伊都産業振興部,農業農村整備課,平成20年度,畑総第3号-6,畑地帯総合整備事業　河根地区　１号団地幹線農道法面工事　　　　　　　　　　　　　,伊都郡　九度山町　　,河根　　　　　　　　,地内　　　　　　　　,（有）新成工業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,21420000,17493266,17527650,15,条件付一般競争入札
20090106,農業農村整備課,農業農村整備課,平成20年度,津波・高潮第1号-1,紀中地域農地海岸ボーリング調査業務委託　　　　　　　　　　　　　　　　　　　　　,和歌山県沿岸部（広川,町・由良町・御坊市）,　　　　　　　　　　,（有）岡本土木技術　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,4263000,3013941,3066000,11,条件付一般競争入札
20090106,農業農村整備課,農業農村整備課,平成20年度,津波・高潮第1号-2,紀南地域農地海岸ボーリング調査業務委託　　　　　　　　　　　　　　　　　　　　　,和歌山県沿岸部　　　,（田辺市・白浜町）　,　　　　　　　　　　,ワコウコンサルタント（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,5187000,3540127,3565543,11,条件付一般競争入札
20090106,農業農村整備課,農業農村整備課,平成20年度,津波・高潮第1号-3,紀中地域農地海岸耐震診断調査業務委託　　　　　　　　　　　　　　　　　　　　　　,和歌山県沿岸部（広川,町・由良町・御坊市）,　　　　　　　　　　,（株）国土開発センター和歌山営業所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,15708000,0,13125000,9,条件付一般競争入札
20090106,農業農村整備課,農業農村整備課,平成20年度,津波・高潮第1号-4,紀南地域農地海岸耐震診断調査業務委託　　　　　　　　　　　　　　　　　　　　　　,和歌山県沿岸部　　　,（田辺市・白浜町）　,　　　　　　　　　　,ＮＴＣコンサルタンツ（株）和歌山営業所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,18343500,0,13650000,9,条件付一般競争入札
20090106,東牟婁産業振興部,森林整備課,平成20年度,県防第10号-1,県土防災対策治山事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,東牟婁郡　串本町　　,須江　　　　　　　　,字中峰地内　　　　　,（有）太田組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,3286500,2519366,3255000,2,条件付一般競争入札
20081217,西牟婁産業振興部,農業農村整備課,平成20年度,畑総第5号-5,下中三栖地区　下中三栖ほ場整備その２工事　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,下三栖中三栖　　　　,地内　　　　　　　　,東宝建設（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,3328500,2667695,2667840,8,条件付一般競争入札
20081217,西牟婁産業振興部,森林整備課,平成20年度,水広第1号-10,水源流域広域保全事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,龍神村丹生ノ川坂田井,地内　　　　　　　　,（有）和商　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,25014150,20278958,20326110,11,条件付一般競争入札
20081217,西牟婁産業振興部,森林整備課,平成20年度,水広第1号-11,水源流域広域保全事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,龍神村丹生ノ川坂田井,地内　　　　　　　　,小原建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,23102100,18784789,18816000,14,条件付一般競争入札
20081217,西牟婁産業振興部,森林整備課,平成20年度,水広第1号-12,水源流域広域保全事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,龍神村丹生ノ川坂田井,地内　　　　　　　　,林建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,12605250,10259140,10265850,5,条件付一般競争入札
20081217,西牟婁産業振興部,森林整備課,平成20年度,復旧第9号,復旧治山事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,中辺路町小松原溝添　,地内　　　　　　　　,林建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,8559600,6664350,6762000,4,条件付一般競争入札
20081212,日高産業振興部,森林整備課,平成20年度,事務測第5号-2,水源流域地域保全事業測量設計業務委託　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高川町　　,田尻　　　　　　　　,本谷地内　　　　　　,（株）三紀屋測量　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,699300,499086,609000,25,条件付一般競争入札
20081212,日高産業振興部,森林整備課,平成20年度,事務測第5号-3,水源流域地域保全事業測量設計業務委託　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高川町　　,田尻　　　　　　　　,本谷地内　　　　　　,（株）データ技研　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,1052100,744146,841680,25,条件付一般競争入札
20081212,東牟婁産業振興部,農業農村整備課,平成20年度,推進第3号,ため池等災害危機管理対策事業（小匠地区）事業計画書作成業務　　　　　　　　　　　,東牟婁郡　那智勝浦町,小匠　　　　　　　　,地内　　　　　　　　,ＮＴＣコンサルタンツ（株）和歌山営業所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,3864000,2629065,3307500,10,条件付一般競争入札
20081211,西牟婁産業振興部,森林整備課,平成20年度,水広第1号-8,水源流域広域保全事業測量設計業務委託　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,龍神村丹生ノ川坂田井,地内　　　　　　　　,（株）データ技研　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,1388100,966393,1110480,29,条件付一般競争入札
20081211,西牟婁産業振興部,森林整備課,平成20年度,水広第1号-9,水源流域広域保全事業測量設計業務委託　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,龍神村丹生ノ川坂田井,地内　　　　　　　　,西航空測量（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,359100,252957,319200,21,条件付一般競争入札
20081211,西牟婁産業振興部,森林整備課,平成20年度,予防第10号-3,予防治山事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,西牟婁郡　上富田町　,生馬黄金倉　　　　　,地内　　　　　　　　,佐古建設（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,12933900,10423350,10506300,16,条件付一般競争入札
20081209,日高産業振興部,農業農村整備課,平成20年度,基水第36号-51,名田工区保全計画策定業務　　　　　　　　　　　　　　　　　　　　　　　　　　　　,御坊市　　　　　　　,熊野・塩屋町北塩屋　,地内　　　　　　　　,内外エンジニアリング（株）和歌山営業所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,19582500,0,15477000,10,条件付一般競争入札
20081208,水産振興課,水産振興課,平成20年度,栽培第1号-1,北部栽培漁業センター餌料培養システム修繕工事　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,加太　　　　　　　　,地内　　　　　　　　,（有）前田電機工業所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,1195183,1011841,1153950,1,条件付一般競争入札
20081208,東牟婁産業振興部,森林整備課,平成20年度,施設災第1号-1,林地荒廃防止施設災害復旧事業　　　　　　　　　　　　　　　　　　　　　　　　　　,東牟婁郡　串本町　　,上田原　　　　　　　,字長谷地内　　　　　,（株）坂井組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,15494850,12072753,12550650,3,条件付一般競争入札
20081204,那賀産業振興部,森林整備課,平成20年度,事務測第2号,事務測那賀調査測量設計業務委託　　　　　　　　　　　　　　　　　　　　　　　　　,紀の川市　　　　　　,切畑　　　　　　　　,字葛城地内　　　　　,（株）データ技研　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,1144500,802752,835485,13,条件付一般競争入札
20081204,伊都産業振興部,森林整備課,平成20年度,水地第1号-4,水源流域地域保全事業　測量設計業務　　　　　　　　　　　　　　　　　　　　　　　,伊都郡　かつらぎ町　,大字花園久木　　　　,地内　　　　　　　　,西畑測量設計（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,2842350,2002620,2013520,22,条件付一般競争入札
20081204,日高産業振興部,農業農村整備課,平成20年度,ため調第2号-3,平野岡池地区ため池ボーリング調査業務　　　　　　　　　　　　　　　　　　　　　　,日高郡　印南町　　　,印南原　　　　　　　,地内　　　　　　　　,（株）世紀工業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,2499000,1707316,1726559,10,条件付一般競争入札
20081128,有田産業振興部,森林整備課,平成20年度,復旧補正第2号-1,復旧治山事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,有田郡有田川町大字　,修理川字東加九鬼　　,地内　　　　　　　　,（株）紀和　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,4832100,4051336,4368000,2,条件付一般競争入札
20081126,日高産業振興部,森林整備課,平成20年度,県防第9号,県土防災対策治山事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高川町　　,寒川　　　　　　　　,谷山地内　　　　　　,光建設（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,2661750,2005195,2341500,4,条件付一般競争入札
20081121,日高産業振興部,農業農村整備課,平成20年度,県かん第3号-4,日高川二期地区　若野支線水路改修その１工事　　　　　　　　　　　　　　　　　　　,御坊市　　　　　　　,藤田町　藤井　　　　,地内　　　　　　　　,（有）稲垣　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,16558500,13481874,13626060,5,条件付一般競争入札
20081119,海草産業振興部,農業農村整備課,平成20年度,地すべり第5号-5,永谷地区　Ｄ－３集水井その１工事　　　　　　　　　　　　　　　　　　　　　　　　,海草郡　紀美野町　　,永谷　　　　　　　　,地内　　　　　　　　,（株）タニガキ建工　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,20496000,16412209,17640000,5,条件付一般競争入札
20081118,伊都産業振興部,農地整備課,平成20年度,地すべり第4号-7,平成１９年度繰越　西渋田第１地区　排水路施設附帯工事　　　　　　　　　　　　　　,伊都郡　かつらぎ町　,西渋田　　　　　　　,地内　　　　　　　　,いわい建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,5901000,4796400,5586000,3,条件付一般競争入札
20081118,西牟婁産業振興部,森林整備課,平成20年度,県防第13号,県土防災対策治山事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,西牟婁郡　上富田町　,市ノ瀬畑山　　　　　,地内　　　　　　　　,小嶋組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,7955850,6172441,6772500,2,条件付一般競争入札
20081118,西牟婁産業振興部,森林整備課,平成20年度,特流第1号-8,特定流域総合治山事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,中辺路町道湯川広田　,地内　　　　　　　　,（有）アセスメント　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,18016950,14073438,14324100,13,条件付一般競争入札
20081114,日高産業振興部,森林整備課,平成20年度,復旧第5号-3,復旧治山事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高川町　　,上田原　　　　　　　,幸合地内　　　　　　,嶋津工務店　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,12185250,9428423,9504600,20,条件付一般競争入札
20081114,日高産業振興部,森林整備課,平成20年度,復旧第6号-4,復旧治山事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高川町　　,寒川　　　　　　　　,板垣内地内　　　　　,（有）共栄産業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,29618400,23860932,23861250,20,条件付一般競争入札
20081114,日高産業振興部,森林整備課,平成20年度,復旧第8号-2,復旧治山事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　印南町　　　,古屋　　　　　　　　,池ノ谷地内　　　　　,（有）総和興業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,23195550,18356588,18401250,12,条件付一般競争入札
20081114,日高産業振興部,森林整備課,平成20年度,水源補正第1号-3,水源流域地域保全事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高川町　　,初湯川　　　　　　　,広原地内　　　　　　,マワリミチ建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,10764600,8670989,8671950,20,条件付一般競争入札
20081112,西牟婁産業振興部,森林整備課,平成20年度,復旧第13号-1,復旧治山事業調査業務委託　　　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,本宮町三越広畑平　　,地内　　　　　　　　,（有）岡本土木技術　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,1712550,1177683,1189125,8,条件付一般競争入札
20081112,西牟婁産業振興部,森林整備課,平成20年度,復旧第13号-2,復旧治山事業測量設計業務委託　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,本宮町三越広畑平　　,地内　　　　　　　　,（株）果無　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,625800,445731,560700,21,条件付一般競争入札
20081111,西牟婁産業振興部,農業農村整備課,平成20年度,調査管理第1号-1,地すべり防止区域　堺・上野地区排水路改修工事　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,堺・上野　　　　　　,地内　　　　　　　　,（有）柳生建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,1963500,1583410,1613325,6,条件付一般競争入札
20081111,西牟婁産業振興部,森林整備課,平成20年度,予防第10号-2,予防治山事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,西牟婁郡　上富田町　,生馬黄金倉　　　　　,地内　　　　　　　　,（株）丸山組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,36131550,28645501,29295000,10,条件付一般競争入札（総合評価）
20081110,東牟婁産業振興部,森林整備課,平成20年度,事務測第7号-2,調査測量設計業務委託　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,東牟婁郡　古座川町　,三尾川　　　　　　　,字中村地内　　　　　,（有）吉野測量設計事務所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,2003400,1419972,1701000,25,条件付一般競争入札
20081106,東牟婁産業振興部,森林整備課,平成20年度,県防第11号-1,県土防災対策治山事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,東牟婁郡　古座川町　,高池　　　　　　　　,字宮ノ下モ地内　　　,（有）竹本組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,3770550,2944147,3234000,3,条件付一般競争入札
20081105,海草産業振興部,森林整備課,平成20年度,県防第14号,県土防災対策治山事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,海草郡　紀美野町　　,坂本　　　　　　　　,字松尾谷地内　　　　,山本建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,2764650,2128965,2609250,3,条件付一般競争入札
20081105,有田産業振興部,農業農村整備課,平成20年度,基水第31号-6,船坂工区第１揚水機場バルブ保全工事　　　　　　　　　　　　　　　　　　　　　　　,有田郡　有田川町　　,船坂　　　　　　　　,地内　　　　　　　　,（株）武井工業所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,6909000,5574322,5599650,7,条件付一般競争入札
20081105,有田産業振興部,農業農村整備課,平成20年度,県モデル第1号-2,つづら地区用水路改修付帯工事　　　　　　　　　　　　　　　　　　　　　　　　　　,有田郡　有田川町　　,久野原　　　　　　　,地内　　　　　　　　,保江建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,6447000,5174530,6189120,4,条件付一般競争入札
20081105,有田産業振興部,森林整備課,平成20年度,復旧第3号-2,復旧治山事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,有田郡有田川町大字　,修理川字東加九鬼　　,地内　　　　　　　　,（株）篠原組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,11207700,9283207,9576000,6,条件付一般競争入札
20081104,西牟婁産業振興部,農業農村整備課,平成20年度,譲与促進第2号-1,上芳養東山地区水槽配管工事　　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,上芳養　　　　　　　,地内　　　　　　　　,（株）紀の国設備　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,462000,371175,371700,9,条件付一般競争入札
20081104,東牟婁産業振興部,森林整備課,平成20年度,予防第13号-2,予防治山事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,東牟婁郡　古座川町　,池野山　　　　　　　,字ヌタ地内　　　　　,見瀬組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,28192500,22581581,22582192,10,条件付一般競争入札
