平成２３年４月１日から平成２４年３月31日までの分,,,,,,,,,,,
入札日,執行課名,事業担当課名,工事・業務番号,工事・業務名,工事場所,契約業者名,予定価格,最低制限価格若しくは調査基準価格,落札価格,応札業者数,入札形式
20120313,東牟婁地域振興部,森林整備課,平成２３年度　災害関連　第３３号－１,災害関連緊急治山事業設計業務,東牟婁郡那智勝浦町小阪字　大戸　地内,小原測量,"589,050","439,802","559,650",5,一般競争入札
20120312,東牟婁地域振興部,森林整備課,平成２３年度　県防　第５７号,県土防災対策治山事業,東牟婁郡古座川町洞尾字日南口地内,畦智建設,"18,425,400","15,867,803","16,800,000",3,一般競争入札
20120312,西牟婁地域振興部,森林整備課,平成２３年度　災害関連　第２３号,災害関連緊急治山事業,田辺市本宮町上切原下モ谷西側地内,庄田組,"24,444,000","21,413,575","24,276,000",2,一般競争入札
20120312,東牟婁地域振興部,森林整備課,平成２３年度　災害関連　第３号,災害関連緊急治山事業,東牟婁郡那智勝浦町小阪字　瀬ノ奥　地内,中央建設株式会社,"19,625,550","16,837,415","19,624,500",2,一般競争入札
20120312,西牟婁地域振興部,森林整備課,平成２３年度　災害関連　第１３号,災害関連緊急治山事業,田辺市龍神村殿原滝の首地内,株式会社タイリュウ建設,"28,368,900","25,029,903","28,082,250",2,一般競争入札
20120312,海草地域振興部,森林整備課,平成２３年度　予防　第１２号,予防治山事業,海草郡紀美野町円明寺字居垣内地内,拓伸建設株式会社,"29,736,000","25,661,535","25,775,400",8,一般競争入札
20120308,西牟婁地域振興部,森林整備課,平成２３年度　施設災　第１号,林地荒廃防止施設災害復旧事業,田辺市深谷黒石地内,株式会社共栄建設工業,"190,470,000","162,660,681","190,050,000",2,一般競争入札（総合評価）
20120307,海草地域振興部,森林整備課,平成２３年度　県防　第４２号,県土防災対策治山事業,海草郡紀美野町毛原下字石尾地内,弓倉鉄建,"1,926,750","1,649,134","1,900,500",2,一般競争入札
20120307,海草地域振興部,森林整備課,平成２３年度　県防　第４１号,県土防災対策治山事業,海草郡紀美野町長谷宮字柳生谷地内,有限会社ミナミ,"1,221,150","1,052,450","1,208,550",2,一般競争入札
20120307,海草地域振興部,森林整備課,平成２３年度　県防　第４０号,県土防災対策治山事業,海草郡紀美野町長谷宮字月ノ盛地内,有限会社ミナミ,"2,552,550","2,201,755","2,518,950",2,一般競争入札
20120306,東牟婁地域振興部,森林整備課,平成２３年度　災害関連　第１１号－１,災害関連緊急治山事業設計業務,東牟婁郡北山村竹原字　里山 外　地内,小原測量,"1,417,500","1,044,825","1,346,625",4,一般競争入札
20120306,東牟婁地域振興部,森林整備課,平成２３年度　災害関連　第１０号－１,災害関連緊急治山事業設計業務,新宮市熊野川町九重字　和田　地内,有限会社吉野測量設計事務所,"492,450","376,380","462,000",5,一般競争入札
20120306,東牟婁地域振興部,森林整備課,平成２３年度　災害関連　第９号－１,災害関連緊急治山事業設計業務,新宮市熊野川町赤木字　赤木谷　地内,有限会社吉野測量設計事務所,"498,750","379,656","472,500",5,一般競争入札
20120305,西牟婁地域振興部,森林整備課,平成２３年度　災害関連　第２４号,災害関連緊急治山事業,田辺市龍神村安井上村地内,株式会社タイリュウ建設,"21,023,100","18,217,778","20,895,000",2,一般競争入札
20120305,西牟婁地域振興部,森林整備課,平成２３年度　災害関連　第１５号,災害関連緊急治山事業,田辺市龍神村丹生ノ川串瀬戸地内,株式会社中村組,"44,903,250","39,630,170","42,630,000",4,一般競争入札（総合評価）
20120222,東牟婁地域振興部,森林整備課,平成２３年度　県防　第３７号,県土防災対策治山事業,新宮市熊野川町田長瀬野山　地内,有限会社三山造園,"3,781,050","3,228,687","3,365,134",2,一般競争入札
20120222,日高地域振興部,森林整備課,平成２３年度　県防　第５２号,県土防災対策治山事業設計業務委託,日高郡印南町大字　島田　字　浪際　地内,株式会社三紀屋測量,"1,424,850","1,061,403","1,396,500",3,一般競争入札
20120215,日高地域振興部,森林整備課,平成２３年度　県防　第５０号,県土防災対策治山事業,御坊市名田町　野島　字　山ノ下　地内,株式会社安村商店,"658,350","565,457","586,950",2,一般競争入札
20120210,伊都地域振興部,森林整備課,平成２３年度　災害関連　第２号－１,災害関連緊急治山事業設計業務,伊都郡高野町大字細川字大佐古地内,株式会社イーホッシュ,"1,309,350","995,415","1,309,350",5,一般競争入札
20120203,那賀地域振興部,森林整備課,平成２３年度　県防　第３３号,県土防災対策治山調査業務,紀の川市神通字稲尾　地内,和歌山航測株式会社,"3,518,550","2,809,622","2,856,632",15,一般競争入札
20120203,那賀地域振興部,農業農村整備課,平成２３年度　ため池等　第１号－４,北勢田大池改修付帯工事,紀の川市北勢田地内,株式会社前川組,"9,313,500","8,054,401","8,069,250",7,一般競争入札
20120131,東牟婁地域振興部,森林整備課,平成２２年度　国債　地すべり　第１号－６,地すべり防止事業調査設計業務,新宮市熊野川町宮井字　奥谷 外 地内,国土防災技術株式会社和歌山営業所　　　　　　　　　　　　,"10,508,400","8,096,476","8,137,500",2,一般競争入札
20120130,西牟婁地域振興部,農業農村整備課,平成２３年度　県災　第２号－１,農道日向線災害復旧工事,田辺市上芳養地内,株式会社中井組,"2,142,000","1,889,116","1,995,000",4,一般競争入札
20120125,日高地域振興部,森林整備課,平成２３年度　県防　第３１号,県土防災対策治山事業,日高郡日高川町大字佐井字埜田　地内,有限会社日高ライン,"4,825,800","4,096,354","4,725,000",2,一般競争入札
20120123,東牟婁地域振興部,森林整備課,平成２２年度　国債　地すべり　第１号－５,地すべり防止事業,新宮市熊野川町宮井字　奥谷  地内,有限会社匠建設,"5,659,500","4,867,395","4,888,800",4,一般競争入札
20120120,伊都地域振興部,森林整備課,平成２３年度　減災対策　第１号－３,山地災害総合減災対策治山事業設計業務,伊都郡かつらぎ町大字花園中南字谷ノ瀬  地内,有限会社尾崎測量設計,"1,768,200","1,341,263","1,397,550",7,一般競争入札
20120119,西牟婁地域振興部,農業農村整備課,平成２３年度　中山間　第１号－９,日向地区幹線道路舗装その３工事,田辺市上芳養地内,株式会社幸輝開発,"7,675,500","6,618,801","6,632,850",5,一般競争入札
20120119,西牟婁地域振興部,森林整備課,平成２３年度　補正・水広　第１号－１,水源流域広域保全事業設計業務,田辺市龍神村丹生ノ川坂田井　地内,有限会社龍和興業,"958,650","732,379","850,500",11,一般競争入札
20120111,日高地域振興部,農業農村整備課,平成２３年度　ため調　第３号－３,ため池ボーリング調査業務,日高郡日高町志賀及び日高郡美浜町三尾地内,株式会社石井コンサルタント,"3,790,500","3,077,097","3,080,700",21,一般競争入札
20120111,日高地域振興部,森林整備課,平成２３年度　補正・復旧　第３号－２,復旧治山事業設計業務委託,日高郡日高川町大字　寒川　字　小薮川南原　地内,有限会社ヤマニシ,"2,161,950","1,603,204","1,995,000",4,一般競争入札
20120111,日高地域振興部,森林整備課,平成２３年度　補正・復旧　第３号－１,復旧治山事業設計業務委託,日高郡日高川町大字　寒川　字　板垣内　地内,株式会社マエモト,"1,339,800","1,007,784","1,239,000",4,一般競争入札
20120111,日高地域振興部,農業農村整備課,平成２３年度　中山間防　第２号－５２,北吉田地区ボーリング調査業務,御坊市藤田町吉田地内,株式会社世紀工業,"3,202,500","2,547,792","2,555,700",22,一般競争入札
20120111,日高地域振興部,農業農村整備課,平成２２年度　中山間防　第２号－５２,北吉田地区整備計画書作成業務,御坊市藤田町吉田地内,株式会社中山綜合コンサルタント,"5,554,500","4,205,988","4,208,226",6,一般競争入札
20111227,有田地域振興部,農業農村整備課,平成２３年度　津波・高潮　第１号－３,和歌山地区宮代工区舗装復旧工事,有田郡広川町唐尾地内,岡川建設,"997,500","865,790","996,450",2,一般競争入札
20111222,西牟婁地域振興部,農業農村整備課,平成２３年度　環生　第１号－３,小森谷遊歩道施設整備工事,田辺市龍神村龍神地内,株式会社タイリュウ建設,"15,939,000","13,960,813","15,933,750",2,一般競争入札
20111222,西牟婁地域振興部,農業農村整備課,平成２３年度　調査管理　第６号－１,滝内地区　海岸保全区域台帳更新その２業務,田辺市新庄町地内,有限会社牟婁測量設計,"4,746,000","3,560,512","4,221,000",7,一般競争入札
20111222,西牟婁地域振興部,農業農村整備課,平成２３年度　中山間　第１号－７,日向地区進入道路法面調査その２業務,田辺市上芳養地内,株式会社世紀工業,"1,239,000","922,351","948,150",12,一般競争入札
20111222,西牟婁地域振興部,農業農村整備課,平成２３年度　基水　第６７号－１,平工区　機能保全計画策定業務,西牟婁郡白浜町平地内,株式会社和歌山総合建設コンサルタント,"4,401,600","3,390,379","3,432,450",3,一般競争入札
20111221,東牟婁地域振興部,森林整備課,平成２３年度　県防　第３０号,県土防災対策治山事業,新宮市相筋１丁目地内,有限会社玉置造園,"977,550","835,000","836,293",2,一般競争入札
20111220,西牟婁地域振興部,森林整備課,平成２３年度　県防　第２４号,県土防災対策治山事業,田辺市和田藤谷　地内,株式会社白浜試錐,"5,800,200","4,696,406","4,725,000",16,一般競争入札
20111215,海草地域振興部,農業農村整備課,平成２３年度　戦作　第１号－１,九品寺地区排水路整備工事,海南市九品寺地内,三和建設株式会社,"29,011,500","25,350,742","25,752,300",4,一般競争入札
20111215,西牟婁地域振興部,農業農村整備課,平成２３年度　基水　第６４号－１,上秋津川西工区機能保全計画策定業務,田辺市上秋津地内,株式会社シーエスエス,"5,806,500","4,548,591","5,680,584",2,一般競争入札
20111214,日高地域振興部,農業農村整備課,平成２３年度　戦作　第３号－２,高家地区揚水施設更新工事,日高郡日高町高家・荊木　地内,タニモト設備,"9,534,000","8,580,600","8,580,600",3,一般競争入札
20111214,日高地域振興部,農業農村整備課,平成２３年度　基水　第２号－５２,名田地区送水附帯施設土質調査業務,御坊市熊野地内,株式会社南紀航測センター,"2,919,000","2,377,523","2,386,716",18,一般競争入札
20111214,日高地域振興部,森林整備課,平成２３年度　県防　第１４号,県土防災対策治山事業,日高郡印南町大字　川又　字　小森　地内,株式会社太田,"2,319,450","1,978,257","2,041,095",2,一般競争入札
20111214,日高地域振興部,農業農村整備課,平成２３年度　ため池等　第１７号－１,寺谷池地区　仮設道路工事,日高郡日高町小池地内,パシフィックマリン株式会社,"8,452,500","7,353,561","7,353,675",12,一般競争入札
20111213,有田地域振興部,農業農村整備課,平成２２年度　調査管理　第１０号－１,畦田地区承水路補修工事,有田郡有田川町瀬井地内,和光産業株式会社,"987,000","874,692","976,500",2,一般競争入札
20111213,農業農村整備課,農業農村整備課,平成２３年度　震ため　第１号－１,二次診断（安定解析）業務委託,和歌山県内,ＮＴＣコンサルタンツ株式会社和歌山営業所,"6,720,000","5,076,776","5,122,425",4,一般競争入札
20111209,西牟婁地域振興部,森林整備課,平成２３年度　県防　第２７号,県土防災対策治山事業,田辺市龍神村丹生ノ川濁谷　地内,株式会社谷川建設,"1,304,100","1,112,845","1,304,100",1,一般競争入札
20111209,農業農村整備課,農業農村整備課,平成２３年度　県推　第１号－３,和歌山東地区和田川上流域排水構想検討業務,和歌山市山東中他地内,株式会社修成建設コンサルタント和歌山事務所,"9,282,000","6,988,771","6,998,250",9,一般競争入札
20111208,西牟婁地域振興部,農業農村整備課,平成２３年度　畜試整備　第１号－２,畜産試験場場内整備その２工事,西牟婁郡すさみ町見老津地内,有限会社塩飽建設,"3,318,000","2,844,754","3,118,500",5,一般競争入札
20111207,日高地域振興部,日高地域振興部,平成２３年度　畜災　第１号,畜産育成公社跡地整備工事,日高郡印南町美里地内,株式会社宝玉井建設,"945,000","835,508","837,900",2,一般競争入札
20111202,那賀地域振興部,農業農村整備課,平成２２年度　中山間　第２号－５３,事業計画検討業務,紀の川市貴志川町北山地内,ＮＴＣコンサルタンツ株式会社和歌山営業所,"4,525,500","3,451,502","3,822,000",4,一般競争入札
20111201,海草地域振興部,農業農村整備課,平成２３年度　震ため　第１号－１,２次診断（土質調査）業務,和歌山市六十谷他　地内,株式会社武田基礎調査,"7,203,000","6,076,665","6,088,950",19,一般競争入札
20111201,海草地域振興部,農業農村整備課,平成２３年度　地すべり　第４号－１,中田地区５号６号集水井工事,海草郡紀美野町中田地内,株式会社武田基礎調査,"27,741,000","24,245,876","24,276,000",9,一般競争入札
20111201,海草地域振興部,農業農村整備課,平成２３年度　地すべり　第４号－１２,中田地区事業損失調査(事前調査)業務,海草郡紀美野町中田地内,株式会社三和綜合コンサル和歌山支店,"5,197,500","4,099,296","4,113,585",26,一般競争入札
20111130,東牟婁地域振興部,森林整備課,平成２３年度　県防　第６号,県土防災対策治山事業,東牟婁郡串本町西向字大浦郷  地内,有限会社前芝フラワーショップ,"2,038,050","1,752,954","1,773,030",4,一般競争入札
20111130,海草地域振興部,農業農村整備課,平成２２年度　調査管理　第８号－１,大窪地区地すべり防止施設維持管理工事,海南市下津町大窪地内,株式会社畑中産業,"987,000","858,345","871,500",3,一般競争入札
20111129,有田地域振興部,農業農村整備課,平成２３年度　地すべり　第６号－５１,畦田2期地区地すべり観測孔設置業務,有田郡有田川町瀬井地内,株式会社世紀工業,"1,197,000","918,933","921,900",14,一般競争入札
20111129,伊都地域振興部,農業農村整備課,平成２２年度　調査管理　第９号－１,西渋田地区　排水路修繕工事,伊都郡かつらぎ町西渋田地内外,西康建設有限会社,"1,627,500","1,409,329","1,428,000",3,一般競争入札
20111129,伊都地域振興部,農業農村整備課,平成２３年度　戦作　第２号－１,丁ノ町地区承水路兼用道路改修工事,伊都郡かつらぎ町丁ノ町地内,上等ワーク工業,"4,529,700","3,990,772","4,019,400",3,一般競争入札
20111128,水産振興課,水産振興課,平成２３年度　地域水産物　第１号－２,阿尾工区魚礁製作及び設置工事,日高郡日高町阿尾地先,株式会社明生工業,"63,241,500","56,360,424","56,647,500",3,一般競争入札（総合評価）
20111128,水産振興課,水産振興課,平成２３年度　漁村再生　第１号－２,熊野灘地区増殖場造成工事,東牟婁郡串本町田原地先他,株式会社小森組,"70,906,500","63,815,850","63,815,850",4,一般競争入札（総合評価）
20111125,那賀地域振興部,農業農村整備課,平成２３年度　畑総　第４号－２,１号排水路兼用道路付帯工事,紀の川市竹房、桃山町市場、桃山町元、桃山町段新田　地内,有限会社木村建設,"6,625,500","5,816,565","6,090,000",2,一般競争入札
20111125,海草地域振興部,森林整備課,平成２３年度　予防　第３号－２,予防治山事業,海草郡紀美野町長谷宮字　柳生谷  地内,上中建設,"20,648,250","17,640,283","17,666,250",6,一般競争入札
20111125,海草地域振興部,森林整備課,平成２３年度　予防　第１号－２,予防治山事業,海草郡紀美野町蓑津呂字　ツロ  地内,上中建設,"19,006,050","16,274,311","16,327,500",5,一般競争入札
20111124,西牟婁地域振興部,森林整備課,平成２３年度　県防　第２８号,県土防災対策治山事業,田辺市龍神村三ツ又湯野々谷　地内,有限会社新成工業,"4,109,700","3,474,021","3,490,200",12,一般競争入札
20111122,西牟婁地域振興部,森林整備課,平成２３年度　県防　第２５号,県土防災対策治山事業,田辺市上秋津川中口　地内,株式会社丸山組,"32,958,450","29,330,737","32,340,000",3,一般競争入札（総合評価）
20111121,西牟婁地域振興部,森林整備課,平成２３年度　県防　第２６号,県土防災対策治山事業,田辺市中辺路町福定田中　地内,横手組,"13,039,950","11,309,933","11,310,600",3,一般競争入札
20111121,那賀地域振興部,農業農村整備課,平成２２年度　中山間　第２号－４,農道整備その２工事,紀の川市貴志川町北山地内,奥建設工業株式会社,"11,980,500","10,626,997","10,639,650",8,一般競争入札
20111117,西牟婁地域振興部,農業農村整備課,平成２３年度　中山間　第１号－５,日向地区ほ場園内整備その9工事,田辺市上芳養地内,株式会社小谷組,"8,767,500","7,597,302","8,153,145",2,一般競争入札
20111116,日高地域振興部,農業農村整備課,平成２２年度　県かん　第３号－３,日高川二期地区　出島幹線水路改修その２工事,御坊市藤田町吉田地内,出口組,"36,802,500","32,025,049","32,917,500",9,一般競争入札（総合評価）
20111109,日高地域振興部,農業農村整備課,平成２３年度　戦作　第３号－１,高家地区送水施設更新工事,日高郡日高町高家地内,パシフィックマリン株式会社,"8,211,000","7,120,333","7,144,200",12,一般競争入札
20111108,有田地域振興部,森林整備課,平成２３年度　予防　第６号－３,北野川第２地区予防治山工事,有田郡有田川町北野川字小屋谷地内,浅井組,"28,331,100","24,908,997","24,935,932",7,一般競争入札
20111107,東牟婁地域振興部,森林整備課,平成２３年度　地すべり　第１号－２,地すべり防止事業調査設計業務,新宮市熊野川町日足字　萬歳  外地内,国土防災技術株式会社和歌山営業所,"4,260,900","3,216,919","3,743,250",2,一般競争入札
20111107,東牟婁地域振興部,森林整備課,平成２３年度　地防　第２号,地域防災対策総合治山事業,新宮市熊野川町宮井字　ウソ嶋  地内,株式会社海邊組,"13,235,250","11,263,627","11,317,950",22,一般競争入札
20111107,東牟婁地域振興部,森林整備課,平成２３年度　復旧　第８号－２,復旧治山事業,新宮市熊野川町西敷屋字　坊田  外  地内,有限会社松岡組,"26,133,450","22,576,274","22,599,150",22,一般競争入札
20111107,那賀地域振興部,農業農村整備課,平成２２年度　ため池等　第１２号－１,別所池改修（その２）工事,紀の川市西三谷地内,株式会社原組,"41,989,500","37,069,354","37,306,500",7,一般競争入札（総合評価）
20111107,東牟婁地域振興部,森林整備課,平成２３年度　予防　第１０号－２,予防治山事業,東牟婁郡古座川町宇津木字　中通り  地内,畦智建設,"19,993,050","17,529,221","17,593,800",10,一般競争入札
20111102,日高地域振興部,農業農村整備課,平成２３年度　ため池等　第５号－５２,奥山池地区　測量設計業務,日高郡日高町小坂地内,株式会社近代技研,"7,465,500","5,749,074","5,773,740",17,一般競争入札
20111102,日高地域振興部,森林整備課,平成２３年度　予防　第７号－２,予防治山事業,日高郡日高川町大字　初湯川　字　塔ノ島  地内,有限会社ミヤマ工業,"48,020,700","41,774,075","41,888,700",12,一般競争入札（総合評価）
20111102,日高地域振興部,森林整備課,平成２３年度　予防　第８号－２,予防治山事業,日高郡日高川町大字　寒川　字　小川　地内,タナカ技研株式会社,"42,626,850","37,619,590","37,842,000",13,一般競争入札（総合評価）
20111028,伊都地域振興部,農業農村整備課,平成２３年度　ため調　第２号－１,五味田池地区　ボーリング調査業務,橋本市高野口町上中地内,株式会社ネクサス,"2,142,000","1,720,950","1,722,000",20,一般競争入札
20111021,那賀地域振興部,農業農村整備課,平成２３年度　ため池等　第１３号－１,西山大池改修付帯工事,紀の川市貴志川町西山地内,株式会社二沢組,"9,292,500","8,112,974","8,171,100",4,一般競争入札
20111018,有田地域振興部,農業農村整備課,平成２３年度　基水　第３１号－１,有田川２期工区空気弁保全工事,有田郡有田川町井口外地内,株式会社中尾鉄工所,"1,942,500","1,703,560","1,704,150",2,一般競争入札
20111018,那賀地域振興部,農業農村整備課,平成２３年度　基水　第６０号－１,和歌山4期地区小田井・藤崎井工区保全計画策定業務,紀の川市上田井、岩出市南大池外地内,株式会社南紀航測センター,"4,452,000","3,462,697","3,493,938",6,一般競争入札
20111013,西牟婁地域振興部,農業農村整備課,平成２３年度　中山間　第１号－３,日向地区ほ場園内整備その７工事,田辺市上芳養地内,株式会社場谷綜合開発,"8,421,000","7,383,169","7,434,000",8,一般競争入札
20110927,那賀地域振興部,農業農村整備課,平成２３年度　基水　第４９号－１,和歌山3期地区調月工区保全計画策定業務,紀の川市桃山町調月地内,株式会社和歌山総合建設コンサルタント,"2,803,500","2,155,375","2,174,025",5,一般競争入札
20110926,海草地域振興部,農業農村整備課,平成２３年度　地すべり　第７号－１２,永谷2期地区解析設計業務,海草郡紀美野町永谷地内,株式会社阪和測量設計,"10,500,000","7,733,103","7,756,350",19,一般競争入札
20110926,海草地域振興部,農業農村整備課,平成２３年度　地すべり　第７号－１１,永谷2期地区地すべり調査観測その２業務,海草郡紀美野町永谷地内,株式会社武田基礎調査,"4,467,750","3,501,197","3,514,350",15,一般競争入札
20110926,海草地域振興部,農業農村整備課,平成２３年度　ため池等　第１８号－１,下佐々地区取水施設改修工事,海草郡紀美野町下佐々地内,株式会社保田組,"27,615,000","24,592,538","24,853,500",2,一般競争入札
20110922,海草地域振興部,農業農村整備課,平成２３年度　ため池等　第１１号－１,慶権寺池地区排水路整備工事,海南市鳥居地内,株式会社中原組,"36,298,500","32,280,405","32,319,000",10,一般競争入札（総合評価）
20110922,西牟婁地域振興部,農業農村整備課,平成２３年度　中山間　第１号－６,日向地区畑地かんがい施設その１工事,田辺市上芳養地内,有限会社建設タナカ,"21,451,500","18,964,646","19,099,500",8,一般競争入札
20110921,日高地域振興部,農業農村整備課,平成２３年度　ため池等　第５号－５１,奥山池地区　土質調査業務,日高郡日高町小坂地内,西畑測量設計株式会社,"4,441,500","3,730,043","3,738,000",23,一般競争入札
20110921,日高地域振興部,農業農村整備課,平成２２年度　ため池等　第１７号－５４,寺谷池地区周辺家屋事前調査業務,日高郡日高町小池地内,株式会社信栄補償設計,"1,186,500","916,632","924,525",26,一般競争入札
20110920,有田地域振興部,農業農村整備課,平成２３年度　基水　第６２号－５０,頭首工・揚水機場保全計画策定業務,有田市星尾外地内,株式会社データ技研,"6,205,500","4,841,375","4,917,801",3,一般競争入札
20110916,西牟婁地域振興部,農業農村整備課,平成２３年度　中山間　第１号－４,日向地区ほ場園内整備その８工事,田辺市上芳養地内,有限会社クボタ工事,"8,704,500","7,639,249","7,640,850",9,一般競争入札
20110916,伊都地域振興部,森林整備課,平成２３年度　減災対策　第１号－２,山地災害総合減災対策治山事業,伊都郡かつらぎ町大字花園中南字谷ノ瀬地内,竹本組,"12,433,050","10,666,846","10,842,300",2,一般競争入札
20110916,伊都地域振興部,森林整備課,平成２３年度　予防　第５号－２,予防治山事業,橋本市矢倉脇字高山  地内,守安組,"26,589,150","23,150,917","23,850,750",8,一般競争入札
20110916,伊都地域振興部,森林整備課,平成２３年度　予防　第４号－２,予防治山事業,橋本市谷奥深字戸西谷地内,広門興業,"29,886,150","26,066,992","26,180,700",6,一般競争入札
20110914,海草地域振興部,森林整備課,平成２３年度　予防　第２号,予防治山事業,海草郡紀美野町円明寺字　居垣内  地内,株式会社﨑山組,"74,715,900","66,649,349","66,790,500",4,一般競争入札（総合評価）
20110913,有田地域振興部,農業農村整備課,平成２３年度　ほ場環境　第１号－５０,川口地区調査業務,有田郡有田川町川口地内,株式会社ネクサス,"2,856,000","2,302,737","2,304,750",16,一般競争入札
20110912,海草地域振興部,農業農村整備課,平成２３年度　ため池等　第１１号－１１,慶権寺池事業損失調査（事前調査）業務,海南市鳥居地内,株式会社イ・アール・シ,"567,000","464,697","478,905",18,一般競争入札
20110831,日高地域振興部,農業農村整備課,平成２３年度　基水　第３３号－１,日高川工区水路補修工事,御坊市藤田町吉田地内,林緑地建設,"8,557,500","7,509,612","7,527,450",21,一般競争入札
20110831,日高地域振興部,森林整備課,平成２３年度　復旧　第４号－３,復旧治山事業,日高郡日高川町大字寒川字板垣内地内,和興建設株式会社,"21,646,800","18,974,534","19,009,200",27,一般競争入札
20110831,日高地域振興部,森林整備課,平成２３年度　復旧　第２号－３,復旧治山事業,日高郡日高川町大字田尻字本谷地内,共栄,"12,810,000","10,952,391","10,969,350",19,一般競争入札
20110831,日高地域振興部,森林整備課,平成２３年度　復旧　第４号－４,復旧治山事業,日高郡日高川町大字寒川字日浦長下地内,株式会社山本組,"15,342,600","13,385,029","13,393,800",26,一般競争入札
20110830,有田地域振興部,農業農村整備課,平成２３年度　ため池等　第３号－５１,鴻の池地区設計業務,和歌山県有田郡有田川町吉原地内,株式会社近畿コンサルタント,"5,449,500","4,007,373","4,087,857",17,一般競争入札
20110830,有田地域振興部,農業農村整備課,平成２３年度　ため池等　第３号－５２,鴻の池地区測量業務,和歌山県有田郡有田川町吉原地内,有限会社岡本土木技術,"3,244,500","2,419,019","2,422,245",28,一般競争入札
20110830,有田地域振興部,農業農村整備課,平成２３年度　ため池等　第２号－５２,菖蒲谷池地区　測量業務,和歌山県有田郡有田川町中井原地内,有限会社田嶋測量設計,"2,131,500","1,610,492","1,918,350",9,一般競争入札
