 平成２２年４月１日から平成２３年３月３１日までの分 ,,,,,,,,,,,,
 入札日 , 執行課名 , 事業担当課名 ,工事名,工事場所１市区町村,工事場所１地名１,工事場所１地名２,契約業者名,予定価格, 最低制限価格若しくは調査基準価格 , 落札価格 ,応札業者数,入札形式
20110318,伊都建設部,医務課,県立医科大学附属病院紀北分院屋外整備２期舗装工事　　　　　　　　　　　　　　　　,伊都郡　かつらぎ町　,妙寺　　　　　　　　,地内　　　　　　　　,（株）丸山組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 33,502,350 "," 28,524,445 "," 28,645,050 ",22,一般競争入札（総合評価）
20110318,伊都建設部,道路建設課,国道３７０号　道路改築測量業務　　　　　　　　　　　　　　　　　　　　　　　　　,伊都郡　高野町　　　,花坂　　　　　　　　,地内　　　　　　　　,ワコウコンサルタント（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 4,882,500 "," 3,580,651 "," 3,627,372 ",32,一般競争入札
20110318,伊都建設部,道路建設課,紀の川左岸地区　かつらぎ２工区６号橋下部工事　　　　　　　　　　　　　　　　　　,伊都郡　かつらぎ町　,平沼田　　　　　　　,地内　　　　　　　　,（株）木村組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 49,833,000 "," 42,597,670 "," 43,302,000 ",13,一般競争入札（総合評価）
20110318,伊都建設部,道路建設課,国道３７１号　道路改良工事　　　　　　　　　　　　　　　　　　　　　　　　　　　,橋本市　　　　　　　,御幸辻　　　　　　　,地内　　　　　　　　,（株）田中組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 49,174,650 "," 42,687,464 "," 43,113,000 ",16,一般競争入札（総合評価）
20110318,日高建設部,道路建設課,日高港線　道路改良　調査業務　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　美浜町　　　,浜ノ瀬　　　　　　　,地先　　　　　　　　,（株）アール・エス　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 777,000 "," 681,571 "," 714,000 ",4,一般競争入札
20110318,日高建設部,道路建設課,国道４２４号（仮称　清川１号橋）　道路改良　設計業務　　　　　　　　　　　　　　,日高郡　みなべ町　　,清川　　　　　　　　,地内　　　　　　　　,（株）シーエスエス　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 10,678,500 "," 8,051,820 "," 8,083,950 ",12,一般競争入札
20110318,日高建設部,道路建設課,国道４２４号（仮称　清川３号橋）　道路改良　設計業務　　　　　　　　　　　　　　,日高郡　みなべ町　　,清川　　　　　　　　,地内　　　　　　　　,菅根測量（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 8,358,000 "," 6,211,718 "," 6,268,500 ",17,一般競争入札
20110318,日高建設部,道路保全課,国道４２４号　道路維持修繕　工事　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　みなべ町　　,谷口（外）　　　　　,地内　　　　　　　　,（有）新紀建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 19,385,100 "," 16,190,582 "," 16,199,925 ",33,一般競争入札
20110318,日高建設部,道路保全課,国道４２４号（外）　道路維持修繕　工事　　　　　　　　　　　　　　　　　　　　　,日高郡　みなべ町　　,谷口（外）　　　　　,地内　　　　　　　　,カメイ建設（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 13,614,300 "," 11,423,706 "," 11,455,500 ",40,一般競争入札
20110318,日高建設部,河川課,西川　河川修繕　工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高町　　　,高家　　　　　　　　,地内　　　　　　　　,松勝建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 20,323,800 "," 17,251,516 "," 17,251,516 ",23,一般競争入札
20110318,東牟婁串本建設部,道路建設課,那智勝浦古座川線（仮称中崎橋上部工）道路改良工事　　　　　　　　　　　　　　　　,東牟婁郡　古座川町　,中崎　　　　　　　　,地内　　　　　　　　,大杉建設（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 21,578,550 "," 18,356,927 "," 18,665,850 ",3,一般競争入札
20110318,東牟婁串本建設部,道路保全課,すさみ古座線（第１深谷橋外３橋）社会資本整備交付金道路保全外合併工事　　　　　　,西牟婁郡　すさみ町　,深谷外　　　　　　　,地内　　　　　　　　,ショーボンド建設（株）和歌山営業所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 58,601,550 "," 50,731,209 "," 51,313,500 ",3,一般競争入札（総合評価）
20110318,東牟婁新宮建設部,道路保全課,国道１６８号道路維持修繕工事　　　　　　　　　　　　　　　　　　　　　　　　　　,新宮市　　　　　　　,高田外　　　　　　　,地内　　　　　　　　,大和建設（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 6,285,300 "," 5,164,111 "," 5,167,575 ",27,一般競争入札
20110317,海草建設部,道路建設課,松島本渡線（神前南）道路改良工事　　　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,神前　　　　　　　　,地内　　　　　　　　,中谷電気工事（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 4,559,100 "," 3,991,201 "," 4,037,250 ",4,一般競争入札
20110317,西牟婁建設部,道路保全課,白浜停車場線社会資本整備交付金交通安全工事　　　　　　　　　　　　　　　　　　　,西牟婁郡　白浜町　　,堅田　　　　　　　　,地内　　　　　　　　,（有）ナカト重機　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 14,116,200 "," 11,977,350 "," 11,987,640 ",15,一般競争入札
20110317,西牟婁建設部,砂防課,龍地区急傾斜地崩壊対策工事　　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,龍神村湯ノ又　　　　,地内　　　　　　　　,（株）共栄建設工業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 49,657,650 "," 43,007,517 "," 43,180,200 ",16,一般競争入札（総合評価）
20110317,西牟婁建設部,砂防課,桑ノ木地区急傾斜地崩壊対策工事　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,龍神村甲斐ノ川　　　,地内　　　　　　　　,（株）共栄建設工業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 44,944,200 "," 38,371,578 "," 38,644,200 ",17,一般競争入札（総合評価）
20110316,西牟婁建設部,道路建設課,国道４２５号道路改良工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,龍神村柳瀬～福井　　,地内　　　　　　　　,向江組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 337,050 "," 277,754 "," 302,400 ",11,一般競争入札
20110316,西牟婁建設部,道路建設課,国道３７１号道路改良工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,西大谷　　　　　　　,地内　　　　　　　　,淺川道路（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 3,689,700 "," 3,069,561 "," 3,496,500 ",9,一般競争入札
20110316,西牟婁建設部,道路建設課,芳養清川線半島振興道路整備工事　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,中芳養　　　　　　　,地内　　　　　　　　,（有）岡本商事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 2,389,800 "," 1,998,830 "," 2,046,450 ",2,一般競争入札
20110316,東牟婁新宮建設部,道路保全課,国道１６８号道路維持修繕工事　　　　　　　　　　　　　　　　　　　　　　　　　　,新宮市　　　　　　　,高田外　　　　　　　,地内　　　　　　　　,中上産業（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 3,416,700 "," 2,826,658 "," 2,828,700 ",18,一般競争入札
20110316,東牟婁新宮建設部,道路保全課,国道１６８号道路維持修繕工事　　　　　　　　　　　　　　　　　　　　　　　　　　,新宮市　　　　　　　,熊野川町宮井外　　　,地内　　　　　　　　,土井機業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 3,702,300 "," 3,038,910 "," 3,047,415 ",18,一般競争入札
20110316,東牟婁新宮建設部,河川課,市田川河川修繕工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,新宮市　　　　　　　,緑ケ丘　　　　　　　,地内　　　　　　　　,（有）紀南総業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 1,084,650 "," 945,945 "," 961,800 ",13,一般競争入札
20110316,東牟婁新宮建設部,河川課,狗子の川河川修繕工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,東牟婁郡　那智勝浦町,狗子ノ川　　　　　　,地内　　　　　　　　,（有）カンサイ技研　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 1,029,000 "," 919,258 "," 927,150 ",14,一般競争入札
20110315,海草建設部,河川課,和歌川地震・高潮対策工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,塩屋５丁目外　　　　,地内　　　　　　　　,富士通（株）関西支社　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 43,332,450 "," 36,245,958 "," 42,315,000 ",1,一般競争入札（総合評価）
20110315,海草建設部,河川課,和歌川（大門川）河川環境整備工事　　　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,中之島　　　　　　　,地内　　　　　　　　,（株）丸山組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 71,165,850 "," 60,825,273 "," 61,887,000 ",18,一般競争入札（総合評価）
20110315,海草建設部,河川課,和歌川交付金工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,雄松町６丁目外　　　,地内　　　　　　　　,第五工業（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 65,448,600 "," 56,714,477 "," 56,862,750 ",15,一般競争入札（総合評価）
20110315,那賀建設部,下水道課,紀の川流域下水道（伊都処理区）伊都浄化センター場内整備（その２）工事　　　　　　,伊都郡　かつらぎ町　,窪　　　　　　　　　,地内　　　　　　　　,（株）ハウスアラメント　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 1,347,150 "," 1,150,310 "," 1,183,455 ",3,一般競争入札
20110315,伊都建設部,医務課,県立医科大学附属病院紀北分院屋外整備２期区画線工事　　　　　　　　　　　　　　　,伊都郡　かつらぎ町　,妙寺　　　　　　　　,地内　　　　　　　　,三笠建設（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 1,917,300 "," 1,608,201 "," 1,610,595 ",7,一般競争入札
20110315,有田建設部,道路建設課,楠本小川線道路改良工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,有田郡　有田川町　　,小川　　　　　　　　,地内　　　　　　　　,（株）タイト工業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 693,000 "," 566,527 "," 622,650 ",11,一般競争入札
20110315,有田建設部,道路保全課,国道４２４号（宇井苔橋）橋梁補修工事　　　　　　　　　　　　　　　　　　　　　　,有田郡　有田川町　　,宇井苔　　　　　　　,地内　　　　　　　　,（株）幸輝開発　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 3,309,600 "," 2,757,999 "," 2,911,650 ",4,一般競争入札
20110315,日高建設部,道路保全課,国道４２４号（外）　地方道路交付金（外）　合併工事　　　　　　　　　　　　　　　,日高郡　みなべ町　　,谷口（外）　　　　　,地内　　　　　　　　,（有）和歌山ライン　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 4,327,050 "," 3,552,754 "," 3,621,450 ",13,一般競争入札
20110315,日高建設部,道路保全課,国道４２４号（外）　道路維持修繕　工事　　　　　　　　　　　　　　　　　　　　　,日高郡　みなべ町　　,東本庄（外）　　　　,地内　　　　　　　　,（株）青松　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 1,223,250 "," 1,081,530 "," 1,084,545 ",5,一般競争入札
20110315,日高建設部,河川課,日高川　広域河川改修　工事　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高川町　　,若野　　　　　　　　,地内　　　　　　　　,（株）古部組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 85,180,200 "," 76,202,206 "," 76,432,193 ",21,一般競争入札（総合評価）
20110315,日高建設部,河川課,南部川（外）　河川修繕　工事　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　みなべ町　　,気佐藤（外）　　　　,地内　　　　　　　　,（株）岡田工務店　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 45,830,400 "," 40,917,381 "," 41,123,617 ",19,一般競争入札（総合評価）
20110314,那賀建設部,道路保全課,泉佐野打田線　社会資本整備交付金交通安全設計業務　　　　　　　　　　　　　　　　,紀の川市　　　　　　,打田　　　　　　　　,外地内　　　　　　　,（株）ネクサス　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 2,110,500 "," 1,664,893 "," 1,667,400 ",17,一般競争入札
20110314,那賀建設部,道路保全課,泉佐野打田線　社会資本整備交付金交通安全測量業務　　　　　　　　　　　　　　　　,紀の川市　　　　　　,打田　　　　　　　　,外地内　　　　　　　,（株）エヌエス　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 1,459,500 "," 1,032,847 "," 1,312,500 ",10,一般競争入札
20110311,伊都建設部,道路建設課,国道３７１号　道路改良工事　　　　　　　　　　　　　　　　　　　　　　　　　　　,伊都郡　高野町　　　,南　　　　　　　　　,地内　　　　　　　　,西建産業（有）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 14,943,600 "," 12,694,581 "," 12,702,900 ",7,一般競争入札
20110311,伊都建設部,河川課,橋本川　総合流域防災工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　,橋本市　　　　　　　,小原田　　　　　　　,外地内　　　　　　　,（株）豊工業所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 41,573,700 "," 35,989,197 "," 36,277,500 ",2,一般競争入札（総合評価）
20110311,東牟婁串本建設部,道路建設課,上富田すさみ線道路改良工事　　　　　　　　　　　　　　　　　　　　　　　　　　　,西牟婁郡　すさみ町　,江住　　　　　　　　,地内　　　　　　　　,（株）吉田組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 28,213,500 "," 24,442,404 "," 25,389,000 ",7,一般競争入札
20110311,東牟婁串本建設部,道路建設課,串本古座川線小規模改良工事　　　　　　　　　　　　　　　　　　　　　　　　　　　,東牟婁郡　古座川町　,三尾川　　　　　　　,地内　　　　　　　　,（株）関本工務店　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 23,617,650 "," 20,149,819 "," 20,187,300 ",12,一般競争入札
20110311,東牟婁串本建設部,道路建設課,上富田すさみ線道路改良工事　　　　　　　　　　　　　　　　　　　　　　　　　　　,西牟婁郡　すさみ町　,江住　　　　　　　　,地内　　　　　　　　,（株）吉田組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 92,513,400 "," 80,222,625 "," 80,881,500 ",5,一般競争入札（総合評価）
20110311,東牟婁串本建設部,道路建設課,古座川熊野川線小規模改良工事　　　　　　　　　　　　　　　　　　　　　　　　　　,東牟婁郡　古座川町　,下露　　　　　　　　,地内　　　　　　　　,（株）田所建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 98,455,350 "," 84,268,941 "," 98,385,000 ",2,一般競争入札（総合評価）
20110311,東牟婁串本建設部,道路建設課,上富田すさみ線道路改良工事　　　　　　　　　　　　　　　　　　　　　　　　　　　,西牟婁郡　すさみ町　,江住　　　　　　　　,地内　　　　　　　　,（株）田所建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 55,423,200 "," 47,378,322 "," 48,303,150 ",6,一般競争入札（総合評価）
20110311,東牟婁串本建設部,港湾整備課,下田原漁港整備（地域）工事　　　　　　　　　　　　　　　　　　　　　　　　　　　,東牟婁郡　串本町　　,田原　　　　　　　　,地先　　　　　　　　,（株）明生工業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 59,630,550 "," 51,761,119 "," 51,868,950 ",4,一般競争入札（総合評価）
20110311,東牟婁新宮建設部,道路保全課,国道１６８号道路維持修繕工事　　　　　　　　　　　　　　　　　　　　　　　　　　,新宮市　　　　　　　,熊野川町田長～田辺市,本宮町小津荷地内　　,福本工務店　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 7,987,350 "," 6,508,792 "," 6,544,065 ",19,一般競争入札
20110311,東牟婁新宮建設部,砂防課,桜谷川通常砂防工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,新宮市　　　　　　　,熊野川町宮井　　　　,地内　　　　　　　　,（有）松岡組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 71,117,550 "," 61,682,296 "," 61,744,200 ",26,一般競争入札（総合評価）
20110311,東牟婁新宮建設部,砂防課,長谷川通常砂防工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,東牟婁郡　那智勝浦町,井関　　　　　　　　,地内　　　　　　　　,井筒建設（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 82,636,050 "," 71,733,230 "," 72,166,500 ",23,一般競争入札（総合評価）
20110310,西牟婁建設部,道路建設課,上富田南部線　道路改良設計業務　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,秋津町　　　　　　　,地内　　　　　　　　,玉野総合コンサルタント（株）和歌山事務所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 1,806,000 "," 1,394,144 "," 1,785,000 ",7,一般競争入札
20110310,西牟婁建設部,河川課,芳養川総合流域防災工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,中芳養　　　　　　　,地内　　　　　　　　,横手組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 13,970,250 "," 12,290,819 "," 12,291,300 ",13,一般競争入札
20110308,公共建築課,都市政策課,紀三井寺公園球技場管理棟他建築工事　　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,毛見　　　　　　　　,地内　　　　　　　　,三友工業（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 36,823,500 "," 32,472,921 "," 32,655,000 ",14,一般競争入札（総合評価）
20110308,公共建築課,都市政策課,紀三井寺公園球技場管理棟他設備工事　　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,毛見　　　　　　　　,地内　　　　　　　　,協栄電気（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 48,710,550 "," 42,773,530 "," 42,816,900 ",14,一般競争入札（総合評価）
20110308,海草建設部,道路保全課,粉河加太線交付金工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,直川　　　　　　　　,地内　　　　　　　　,原実業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 12,606,300 "," 10,590,816 "," 10,591,035 ",21,一般競争入札
20110308,海草建設部,砂防課,加太地区急傾斜地崩壊対策工事　　　　　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,加太　　　　　　　　,地内　　　　　　　　,（有）ユートピア建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 20,834,100 "," 17,633,196 "," 17,709,300 ",6,一般競争入札
20110308,有田建設部,道路建設課,楠本小川線道路改良工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,有田郡　有田川町　　,小川　　　　　　　　,地内　　　　　　　　,森川建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 20,548,500 "," 18,188,289 "," 18,196,500 ",29,一般競争入札
20110308,有田建設部,道路建設課,吉備金屋線道路改良工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,有田郡　有田川町　　,水尻　　　　　　　　,地内　　　　　　　　,中平建設（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 87,700,200 "," 76,482,409 "," 76,674,780 ",18,一般競争入札（総合評価）
