入札日,執行課名,工事名,工事場所１市区町村,工事場所１地名１,工事場所１地名２,契約業者名,予定価格,最低制限価格若しくは調査基準価格,落札価格,指名業者数,入札形式
,日高建設部,国道４２４号（平橋）橋りよう補修調査設計業務,日高郡　日高川町,初湯川,地内,パシフィックコンサルタンツ（株）大阪本社,"8,641,500",0,"5,250,000",15,指名競争入札
,日高建設部,国道４２４号（大谷橋）橋りよう補修（外）合併調査設計業務,日高郡　日高川町,浅間,地内,日本建設コンサルタント（株）大阪支社,"8,463,000",0,"7,560,000",15,指名競争入札
,日高建設部,上の段地区急傾斜地崩壊対策工事,日高郡　日高川町,熊野川,地内,和興建設（株）,"8,683,500","5,885,250","8,557,500",14,指名競争入札
,日高建設部,西原地区急傾斜地崩壊対策工事,日高郡　日高川町,西原,地内,（株）村上組,"9,940,350","6,888,000","9,622,200",14,指名競争入札
,日高建設部,日高港港湾改良工事,日高郡　美浜町,浜ノ瀬,地先,（株）前田組,"25,345,950","20,081,250","20,081,250",19,指名競争入札
,日高建設部,日高港港湾改良工事,日高郡　美浜町,浜ノ瀬,地先,（株）光修建設,"20,738,550","16,430,400","20,317,500",21,指名競争入札
,東牟婁新宮建設部,新宮港港湾改良工事,新宮市,三輪崎,地内,（有）東新建設,"44,849,700","36,309,000","44,205,000",14,指名競争入札
,東牟婁新宮建設部,新宮港港湾改良工事,新宮市,三輪崎,地内,（有）瀧谷組,"44,847,600","36,306,900","36,306,900",12,指名競争入札
,東牟婁新宮建設部,新宮港港湾改良工事,新宮市,三輪崎,地内,住口組,"11,519,550","9,791,617","11,319,000",14,指名競争入札
,東牟婁新宮建設部,清水上地区急傾斜地崩壊対策工事,東牟婁郡　太地町,太地,地内,菊本建設,"14,682,150","10,764,600","14,385,000",14,指名競争入札
,東牟婁新宮建設部,清水上地区急傾斜地崩壊対策工事,東牟婁郡　太地町,太地,地内,森川建設,"14,859,600","10,682,700","14,584,500",14,指名競争入札
,東牟婁新宮建設部,赤木谷川通常砂防工事,新宮市,熊野川町赤木,地内,（有）上浦組,"1,995,000",0,"1,932,000",15,指名競争入札
,東牟婁新宮建設部,国道１６８号道路災害防除工事,新宮市,相賀,地内,中上建設（株）,"98,190,750","74,049,150","96,904,500",12,指名競争入札
,東牟婁新宮建設部,新宮港港湾改良工事,新宮市,三輪崎,地内,（株）海邊組,"43,160,250","36,686,212","42,210,000",7,指名競争入札
20060315,那賀建設部,紀の川流域下水道（伊都処理区）伊都浄化センター脱水機設備工事,伊都郡　かつらぎ町,窪,地内,（株）西原環境テクノロジー関西支店,"216,051,150","164,658,900","204,750,000",2,条件付一般競争入札
,那賀建設部,紀の川中流流域下水道（那賀処理区）桃山ポンプ場築造工事,紀の川市,桃山町段,地内,戸田建設（株）大阪支店,"427,407,750","332,111,850","340,200,000",5,条件付一般競争入札
,那賀建設部,紀の川中流流域下水道（那賀処理区）貴志川ポンプ場築造工事,紀の川市,貴志川町丸栖,地内,大日本土木（株）和歌山営業所,"301,863,450","233,568,300","250,950,000",2,条件付一般競争入札
,西牟婁建設部,国道３７１号小規模道路改良工事,田辺市,中辺路町温川,外地内,（株）三栖文組,"14,641,200","11,065,950","11,065,950",20,指名競争入札
,西牟婁建設部,上富田南部線地方道路交付金南紀養護学校整備電気設備工事,西牟婁郡　上富田町,岩田,地内,前田電気商会,"15,661,800","12,579,000","15,015,000",12,指名競争入札
,西牟婁建設部,上富田南部線地方道路交付金南紀養護学校整備建築工事,西牟婁郡　上富田町,岩田,地内,宮本工務店,"17,825,850","15,011,850","17,468,850",20,指名競争入札
20060314,和歌山下津港湾事務所,和歌山下津港　港湾海岸高潮対策（津波緊急）　工事,海南市,下津町　方,地内,（株）酉島製作所和歌山営業所,"39,199,650","31,125,360","36,750,000",9,指名競争入札
,那賀建設部,紀の川中流流域下水道（那賀処理区）桃山幹線管渠（推進）工事,紀の川市,桃山町段,～市場地内,第五・木村特定建設工事共同企業体,"131,715,150","100,630,150","121,800,000",15,受注希望公募型競争入札
,那賀建設部,紀の川中流流域下水道（那賀処理区）貴志川幹線管渠（推進）工事,紀の川市,桃山町市場,地内,丸山・川嶋特定建設工事共同企業体,"168,381,150","128,259,600","156,450,000",15,受注希望公募型競争入札
,那賀建設部,紀の川中流流域下水道（那賀処理区）那賀幹線管渠（推進）工事,那賀郡　岩出町,中島,地内,久本組・丸山組特定建設工事共同企業体,"193,909,800","149,358,300","178,395,000",10,受注希望公募型競争入札
,東牟婁串本建設部,古座川町外　砂防基礎調査　業務,東牟婁振興局,串本建設部　管内一円,,（株）パスコ和歌山支店,"12,915,000",0,"7,518,000",15,指名競争入札
20060313,河川課,近畿情報ネットシステム設置工事,和歌山市,小松原通１丁目,地内,三菱電機（株）関西支社,"11,126,850","9,457,822","10,500,000",7,指名競争入札
,東牟婁串本建設部,国道３７１号　道路災害防除　工事,東牟婁郡　古座川町,洞尾,地内,ショーボンド建設（株）和歌山営業所,"45,748,500","34,219,500","41,790,000",15,指名競争入札
20060309,海草建設部,和歌山野上線外道路維持修繕工事,和歌山市,秋月外,地内,（株）コスモライン,"2,007,600",0,"1,701,000",10,指名競争入札
,海草建設部,岩出海南線舗装補修工事,和歌山市,上三毛,地内,佳江建設（株）,"2,998,800","2,095,800","2,095,800",16,指名競争入札
,海草建設部,岩出海南線外交通安全施設等整備外合併工事,和歌山市,明王寺外,地内,（有）羽山組,"1,470,000",0,"921,900",19,指名競争入札
,海草建設部,紀ノ川停車場線交通安全施設等整備測量業務,和歌山市,市小路,地内,ワコウコンサルタント（株）,"4,032,000",0,"3,811,500",15,指名競争入札
,海草建設部,粉河加太線交通安全施設等整備調査測量設計業務,和歌山市,平井外,地内,中央復建コンサルタンツ（株）和歌山営業所,"4,305,000",0,"3,937,500",15,指名競争入札
,海草建設部,粉河加太線交通安全施設等整備測量設計外合併業務,和歌山市,平井外,地内,中央復建コンサルタンツ（株）和歌山営業所,"3,864,000",0,"3,570,000",15,指名競争入札
,海草建設部,紀ノ川停車場線交通安全施設等整備設計外合併業務,和歌山市,市小路,地内,中央復建コンサルタンツ（株）和歌山営業所,"2,562,000",0,"2,310,000",15,指名競争入札
,那賀建設部,住吉川総合流域防災橋梁設計業務,那賀郡　岩出町,中島,地内,（株）アスコ和歌山支店,"6,982,500",0,"6,615,000",15,指名競争入札
,那賀建設部,柘榴川河川修繕工事,紀の川市,桃山町最上,地内,浜野組,"3,450,300","2,711,100","3,276,000",15,指名競争入札
,那賀建設部,住吉川住宅市街地河川整備工事,那賀郡　岩出町,中島,地内,（株）﨑山組,"38,545,500","30,385,950","36,592,500",16,指名競争入札
,那賀建設部,住吉川総合流域防災外合併設計業務,那賀郡　岩出町,中島,地内,玉野総合コンサルタント（株）和歌山事務所,"9,156,000",0,"8,505,000",15,指名競争入札
,伊都建設部,国道４８０号　小規模道路改良工事,伊都郡　かつらぎ町,広口,地内,宮本組,"2,647,050","1,903,650","2,562,000",14,指名競争入札
,伊都建設部,国道３７１号　橋りょう補修　設計業務,伊都郡　高野町,高野山,地内,日本技術開発（株）大阪支社,"9,271,500",0,"8,715,000",10,指名競争入札
,伊都建設部,国道３７１号　橋りょう補修　設計業務,伊都郡　高野町,高野山,外地内,（株）修成建設コンサルタント和歌山事務所,"9,733,500",0,"9,240,000",10,指名競争入札
,日高建設部,日高川大規模地震対策等河川設計業務,御坊市,名屋（外）,地内,（株）建設技術研究所大阪本社,"7,528,500",0,"6,825,000",15,指名競争入札
,日高建設部,切目川（外）浸水想定区域図等調査測量業務,日高郡　印南町,印南原（外）,地内,（株）パスコ和歌山支店,"12,196,800",0,"5,733,000",15,指名競争入札
,日高建設部,熊野川河川修繕工事,御坊市,熊野,地内,（株）宝玉井建設,"1,674,750",0,"1,638,000",17,指名競争入札
,日高建設部,猪谷川通常砂防工事,日高郡　日高川町,初湯川,地内,（株）和歌山オイル,"8,411,550","6,309,450","8,295,000",14,指名競争入札
,日高建設部,砂防指定地土地調書作成業務,日高郡　日高川町,佐井（外）,地内,（株）日進測量設計事務所,"1,045,800",0,"987,000",11,指名競争入札
,日高建設部,滝切目停車場線（外）交通安全施設等整備（外）工事,日高郡　みなべ町,高野（外）,地内,和歌山塗装工業（株）,"1,443,750",0,"1,354,500",11,指名競争入札
,日高建設部,御坊湯浅線（外）舗装補修（外）合併工事,日高郡　由良町,一円,地内,（株）溝畑組,"2,170,350",0,"2,110,500",10,指名競争入札
,日高建設部,御坊美山線（外）交通安全施設等整備（外）工事,御坊市,湯川町　財部（外）,地内,紀南電設（株）,"1,633,800",0,"1,575,000",15,指名競争入札
,日高建設部,姉子地区（外）砂防調査（外）合併業務,日高郡　日高川町,姉子（外）,地内,日高測量設計（株）,"2,131,500",0,"2,026,500",11,指名競争入札
,日高建設部,猪谷川通常砂防工事,日高郡　日高川町,初湯川,地内,青貝建築,"17,304,000","12,981,150","17,125,500",17,指名競争入札
,日高建設部,西川河川修繕工事,日高郡　美浜町,吉原,地内,ワシン建設（株）,"1,352,400",0,"1,312,500",10,指名競争入札
,東牟婁新宮建設部,あけぼの広角線道路改良工事,新宮市,新宮,地内,田畑工業,"6,427,050","4,462,500","6,300,000",13,指名競争入札
,東牟婁新宮建設部,長井古座線外舗装補修工事,東牟婁郡　那智勝浦町,小匠,外地内,（株）丸濱組,"10,920,000","7,709,100","10,710,000",7,指名競争入札
20060308,公共建築課,和歌山県庁南別館（仮称）屋外設備工事,和歌山市,湊通丁　北一丁目,地内,新建電機（株）,"39,523,050","32,390,400","37,390,500",16,指名競争入札
,海草建設部,亀の川総合流域防災工事,海南市,多田,地内,（有）西山重機,"9,997,050","8,497,492","9,492,000",16,指名競争入札
,海草建設部,加茂川水防工事,海南市,下津町下,地内,第一電機設備工業（株）,"999,600",0,"934,500",15,指名競争入札
,西牟婁建設部,文里湊線小規模道路改良工事,田辺市,,文里外地内,（有）小薮,"16,692,900","14,170,800","14,170,800",20,指名競争入札
,西牟婁建設部,文里港線地方道路交付金工事,田辺市,新庄町,地内,（株）目良組,"4,887,750","3,408,300","4,809,000",10,指名競争入札
,西牟婁建設部,国道３７１号（宮前橋）橋梁補修設計業務,田辺市,龍神村龍神,地内,（株）長大和歌山事務所,"6,709,500",0,"6,195,000",15,指名競争入札
,西牟婁建設部,国道３７１号（五百原二号橋）橋梁補修設計業務,田辺市,龍神村龍神,地内,（株）サン技研コンサルタンツ,"6,541,500",0,"6,195,000",15,指名競争入札
,西牟婁建設部,国道４２５号舗装補修工事,田辺市,龍神村福井,地内,（株）深瀬組,"1,094,100",0,"1,071,000",10,指名競争入札
,西牟婁建設部,国道３１１号外道路管理マニュアル作成外合併業務,和歌山県下,一円,,（株）長大和歌山事務所,"5,376,000",0,"4,935,000",15,指名競争入札
,西牟婁建設部,国道３１１号舗装補修工事,西牟婁郡　上富田町,岩田,地内,（株）清本組,"4,354,350","3,034,500","4,252,500",10,指名競争入札
,西牟婁建設部,国道３７１号（五百原橋）橋梁補修設計業務,田辺市,龍神村龍神,地内,（株）ニュ―ジェック和歌山事務所,"6,961,500",0,"3,465,000",15,指名競争入札
,西牟婁建設部,文里湊線小規模道路改良工事,田辺市,,文里地内,（株）野田組,"21,941,850","16,638,300","21,210,000",15,指名競争入札
,西牟婁建設部,文里湊線小規模道路改良工事,田辺市,,文里地内,小山工務店,"18,260,550","15,460,200","15,460,200",21,指名競争入札
,東牟婁串本建設部,古座川　外　情報基盤緊急整備　業務,東牟婁郡　串本町,串本　外,地内,（株）サイバーリンクス,"3,465,000",0,"3,357,900",5,指名競争入札
20060303,有田建設部,西ケ峯地区砂防調査業務,有田郡　有田川町,西ケ峯,地内,（有）三木測量設計事務所,"420,000",0,"388,500",14,指名競争入札
,有田建設部,海南金屋線外道路維持修繕工事,有田郡　有田川町,上六川,外地内,（株）中井組,"7,647,150","5,287,800","7,087,500",8,指名競争入札
,有田建設部,国道４２４号外交通安全施設等整備工事,有田郡　有田川町,宇井苔,外地内,（株）コスモライン,"1,398,600",0,"1,302,000",11,指名競争入札
,有田建設部,海南金屋線外交通安全施設等整備工事,有田郡　有田川町,上六川,外地内,関西建設（株）,"1,376,550",0,"1,296,750",11,指名競争入札
20060302,海草建設部,大新公園遊具塗装工事,和歌山市,坊主丁,地内,（有）西原塗装工業,"1,285,200",0,"1,218,000",10,指名競争入札
,海草建設部,三田三葛線外道路維持修繕工事,和歌山市,坂田外,地内,（有）大峰建設,"1,503,600",0,"1,354,500",18,指名競争入札
,海草建設部,新和歌浦線道路維持修繕工事,和歌山市,田野,地内,ＯＫ建設（株）,"2,119,950",0,"1,609,650",18,指名競争入札
,海草建設部,交通センター免許試験コース等改修工事,和歌山市,西,地内,三笠建設（株）,"3,524,850","2,497,950","2,497,950",11,指名競争入札
,海草建設部,岩出海南線小規模道路改良設計業務,和歌山市,薬勝寺,地内,和歌山航測（株）,"1,050,000",0,"984,900",15,指名競争入札
,海草建設部,井ノ口秋月線道路改良工事,和歌山市,栗栖,地内,（有）山本耕次建設工業,"19,283,250","15,211,350","15,211,350",14,指名競争入札
,那賀建設部,紀の川中流流域下水道（那賀処理区）那賀浄化センター管理棟建築機械設備工事,那賀郡　岩出町,中島,地内,サンキョーコムテック（株）,"47,875,800","39,966,150","45,990,000",18,指名競争入札
,那賀建設部,広畑（２）地区特殊急傾斜地崩壊対策外合併測量設計業務,紀の川市,名手上,地内,（株）センダイ工部コンサルタント,"619,500",0,"586,950",14,指名競争入札
,那賀建設部,中津川外河川修繕工事,紀の川市,粉河,外地内,（株）大長建設,"830,550",0,"787,500",15,指名競争入札
,那賀建設部,古戸川河川調査外合併業務,那賀郡　岩出町,高塚,地内,玉野総合コンサルタント（株）和歌山事務所,"2,982,000",0,"2,782,500",15,指名競争入札
,伊都建設部,北又川　河川修繕工事,伊都郡　九度山町,北又,地内,玉川土木,"2,148,300",0,"2,047,500",15,指名競争入札
,伊都建設部,急傾斜地砂防基礎調査業務,伊都郡　九度山町,椎出,外地内,（株）エイトコンサルタント和歌山支店,"12,705,000",0,"11,550,000",11,指名競争入札
,伊都建設部,砂防設備等電子化業務,伊都振興局管内,,,（株）キワコンサルタント,"7,963,200",0,"7,560,000",14,指名競争入札
,伊都建設部,砂防指定地台帳整備業務,橋本市,高野口町大野,外地内,（有）尾崎測量設計,"924,000",0,"861,000",15,指名競争入札
,伊都建設部,和歌山橋本線外　舗装補修外　合併工事,伊都郡　かつらぎ町,兄井,外地内,（株）杖村舗装建設,"5,105,100","3,521,700","4,977,000",8,指名競争入札
,伊都建設部,橋本五條線外　道路維持修繕工事,橋本市,上田,外地内,ダイケン建設,"1,330,350",0,"871,500",16,指名競争入札
,日高建設部,国道４２４号道路災害測量設計業務,日高郡　日高川町,弥谷,地内,（有）岡本土木技術,"2,530,500",0,"2,373,000",17,指名競争入札
,日高建設部,井の谷川通常砂防工事,日高郡　日高川町,高津尾,地内,（有）なかつ,"1,810,200",0,"1,732,500",14,指名競争入札
,日高建設部,国道４２４号道路災害防除工事,日高郡　日高川町,串本,地内,北村建設（株）,"44,663,850","34,099,800","44,205,000",18,指名競争入札
,日高建設部,国道４２４号道路維持修繕工事,日高郡　日高川町,弥谷,地内,（株）美山組,"3,702,300","2,571,450","3,664,500",5,指名競争入札
,日高建設部,国道４２４号道路災害防除工事,日高郡　日高川町,串本,地内,（株）児玉組,"4,536,000","3,381,000","4,462,500",14,指名競争入札
,日高建設部,中芳養南部線交通安全施設等整備工事,日高郡　みなべ町,東吉田,地内,（株）安村商店,"1,029,000",0,"990,150",18,指名競争入札
,日高建設部,高野下１地区急傾斜地崩壊対策工事,日高郡　日高川町,寒川,地内,北村建設（株）,"9,976,050","6,833,400","9,870,000",13,指名競争入札
,日高建設部,日高川大規模地震対策等設計業務,御坊市,名屋（外）,地内,日本工営（株）和歌山営業所,"19,288,500",0,"17,850,000",15,指名競争入札
,日高建設部,片串地区急傾斜地崩壊対策調査測量設計業務,日高郡　日高川町,初湯川,地内,日本工営（株）和歌山営業所,"12,001,500",0,"10,920,000",15,指名競争入札
,日高建設部,弥谷川砂防修繕工事,日高郡　日高川町,弥谷,地内,杉本組,"2,294,250",0,"2,268,000",14,指名競争入札
,西牟婁建設部,古座あさかぜ園職員住宅外壁改修工事,東牟婁郡　串本町,上田原,地内,（株）小森組,"20,281,800","16,902,900","19,635,000",13,指名競争入札
,東牟婁串本建設部,古座川　外　河川調査　測量調査設計　業務,東牟婁郡　古座川町,鶴川　外,地内,（株）ト―ニチコンサルタント西日本支社,"4,221,000",0,"3,885,000",15,指名競争入札
,東牟婁新宮建設部,内ノ井３地区急傾斜地崩壊対策工事,新宮市,熊野川町内ノ井,地内,中村重機,"15,166,200","10,455,900","14,910,000",14,指名競争入札
,東牟婁新宮建設部,あけぼの広角線道路改良工事,新宮市,新宮,地内,（有）フルカワ,"12,995,850","10,209,150","12,799,500",14,指名競争入札
,東牟婁新宮建設部,国道１６８号道路改築調査業務,新宮市,南桧杖,地内,（株）長大和歌山事務所,"3,864,000",0,"3,549,000",15,指名競争入札
20060301,海草建設部,国道３７０号道路改築工事,海草郡　紀美野町,安井,地内,（株）吉田組,"50,868,300","38,388,000","48,730,500",13,指名競争入札
,海草建設部,花園美里線道路改良工事,海草郡　紀美野町,長谷宮,地内,中前組,"26,256,300","19,146,750","25,357,500",18,指名競争入札
,海草建設部,国道３７０号小規模道路改良工事,海草郡　紀美野町,大角,外地内,向江組,"2,847,600","1,978,200","2,562,000",11,指名競争入札
,海草建設部,国道３７０号道路改築測量業務,海草郡　紀美野町,樋下,地内,（有）宝和技術,"2,037,000",0,"1,921,500",14,指名競争入札
,西牟婁建設部,芳養川河川修繕工事,田辺市,芳養町,地内,ワシン建設（株）,"706,650",0,"693,000",10,指名競争入札
,西牟婁建設部,国道３１１号道路維持修繕工事,田辺市,中辺路町栗栖川,地内,（有）六光,"798,000",0,"735,000",15,指名競争入札
,西牟婁建設部,田辺白浜線交通安全施設等整備工事,田辺市,新庄町,地内,（株）目良組,"2,499,000",0,"2,457,000",10,指名競争入札
,西牟婁建設部,上富田すさみ線地方特定道路設計業務,西牟婁郡　上富田町,,鳥淵地内,（株）阪和測量設計,"1,102,500",0,"1,039,500",15,指名競争入札
,西牟婁建設部,国道１６８号道路改築裁決申請図書作成業務,田辺市,本宮町切畑,地内,清水不動産鑑定士事務所,"2,394,000",0,"2,257,500",15,指名競争入札
,西牟婁建設部,白浜駅湯崎線道路改良建物等調査業務,西牟婁郡　白浜町,,湯崎地内,大阪エンジニアリング（株）和歌山支店,"997,500",0,"924,000",15,指名競争入札
20060228,和歌山下津港湾事務所,和歌山下津港　港湾改良　工事,和歌山市,湊,地内,（株）丸栄山下組,"46,184,250","36,282,750","36,282,750",21,指名競争入札
,和歌山下津港湾事務所,和歌山下津港　港湾海岸　調査設計　業務,海南市,下津町　方,地内,パシフィックコンサルタンツ（株）大阪本社,"2,656,500",0,"2,467,500",15,指名競争入札
20060227,白浜空港管理事務所,南紀白浜空港　飛行場標識塗装業務,西牟婁郡　白浜町,白浜,地内,和歌山塗装工業（株）,"3,537,450",0,"3,307,500",14,指名競争入札
,白浜空港管理事務所,南紀白浜空港　排水溝集水桝清掃業務,西牟婁郡　白浜町,白浜,地内,（株）稗田工務店,"2,133,600",0,"1,995,000",13,指名競争入札
,白浜空港管理事務所,南紀白浜空港　飛行場標識塗装業務,西牟婁郡　白浜町,白浜,地内,（株）キンキ,"3,819,900",0,"3,570,000",14,指名競争入札
,東牟婁串本建設部,周参見川　外　河川調査　業務,西牟婁郡　すさみ町,周参見,地内,国際航業（株）和歌山営業所,"4,777,500",0,"4,095,000",15,指名競争入札
20060224,有田建設部,田村海岸海岸災害復旧工事,有田郡　湯浅町,田,地先,（株）中井組,"59,264,100","47,243,700","53,235,000",15,指名競争入札
,有田建設部,有田川水系河川整備基本方針策定業務,有田郡　有田川町,金屋,外地内,（株）建設技術研究所大阪本社,"2,856,000",0,"2,520,000",16,指名競争入札
,有田建設部,八幡台谷川外砂防標識設置工事,有田郡　有田川町,小川,外地内,オーノ保安工業（株）,"388,500",0,"367,500",11,指名競争入札
,有田建設部,国道４８０号道路特殊改良一種工事,有田郡　有田川町,岩野河,地内,有田設備工業,"592,200",0,"567,000",15,指名競争入札
