 平成２１年４月１日から平成２２年３月３１日までの分 ,,,,,,,,,,,,,,,,
 入札日 , 執行課名 , 事業担当課名 ,工事名, 工事場所１市区町村 , 工事場所１地名１ , 工事場所１地名２ ,契約業者名,予定価格,最低制限価格若しくは調査基準価格,落札価格,応札業者数,入札形式,,,,
20100329,海草建設部,道路建設課,奥佐々阪井線道路改良調査業務　　　　　　　　　　　　　　　　　　　　　　　　　　,海草郡　紀美野町　　,下佐々　　　　　　　,地内　　　　　　　　,（株）産業工学研究所和歌山営業所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 609,000 "," 438,662 "," 440,367 ",16,条件付一般競争入札,,,,
20100326,海草建設部,道路建設課,粉河加太線地方特定道路整備発注者支援業務　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,宇田森～直川　　　　,地内　　　　　　　　,（株）近代技研　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 5,985,000 "," 4,394,785 "," 5,313,000 ",10,条件付一般競争入札,,,,
20100326,海草建設部,道路建設課,三田三葛線地方特定道路整備発注者支援業務　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,和田～坂田　　　　　,地内　　　　　　　　,和歌山航測（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 5,985,000 "," 4,243,963 "," 5,407,500 ",7,条件付一般競争入札,,,,
20100326,海草建設部,道路建設課,海南金屋線地方特定道路整備発注者支援業務　　　　　　　　　　　　　　　　　　　　,海南市　　　　　　　,重根　　　　　　　　,外地内　　　　　　　,（株）南紀航測センター　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 5,985,000 "," 4,394,785 "," 5,407,500 ",7,条件付一般競争入札,,,,
20100326,海草建設部,道路建設課,高野口野上線地方特定道路整備発注者支援業務　　　　　　　　　　　　　　　　　　　,海草郡　紀美野町　　,円明寺　　　　　　　,外地内　　　　　　　,（株）石井コンサルタント　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 5,985,000 "," 4,369,648 "," 5,302,500 ",9,条件付一般競争入札,,,,
20100326,海草建設部,道路保全課,国道３７０号外発注者支援業務　　　　　　　　　　　　　　　　　　　　　　　　　　,海草郡　紀美野町　　,鎌滝　　　　　　　　,外地内　　　　　　　,西畑測量設計（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 5,985,000 "," 4,264,911 "," 5,355,000 ",7,条件付一般競争入札,,,,
20100326,海草建設部,河川課,和歌川（和田川）広域基幹河川改修発注者支援業務　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,坂田外　　　　　　　,地内　　　　　　　　,ワコウコンサルタント（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 5,985,000 "," 4,378,027 "," 5,386,500 ",9,条件付一般競争入札,,,,
20100326,海草建設部,河川課,和歌川（和田川）広域基幹河川改修発注者支援業務　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,坂田外　　　　　　　,地内　　　　　　　　,和歌山航測（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 5,985,000 "," 4,340,322 "," 5,355,000 ",9,条件付一般競争入札,,,,
20100326,海草建設部,河川課,和歌川排水機場外特定構造物改築発注者支援業務　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,塩屋外　　　　　　　,地内　　　　　　　　,ワコウコンサルタント（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 5,985,000 "," 4,407,354 "," 5,386,500 ",6,条件付一般競争入札,,,,
20100326,海草建設部,砂防課,安原地区砂防基礎調査業務　　　　　　　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,本渡外　　　　　　　,地内　　　　　　　　,和建技術（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 2,814,000 "," 2,084,048 "," 2,084,048 ",5,条件付一般競争入札,,,,
20100326,伊都建設部,道路建設課,山田岸上線外　地方特定道路整備発注者支援業務　　　　　　　　　　　　　　　　　　,橋本市　　　　　　　,神野々　　　　　　　,外地内　　　　　　　,（株）センダイ工部コンサルタント　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 5,985,000 "," 4,243,963 "," 5,384,400 ",10,条件付一般競争入札,,,,
20100326,伊都建設部,道路建設課,山田御幸辻停車場線外　地方特定道路整備発注者支援業務　　　　　　　　　　　　　　,橋本市　　　　　　　,菖蒲谷　　　　　　　,外地内　　　　　　　,和歌山航測（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 5,985,000 "," 4,344,511 "," 5,334,000 ",10,条件付一般競争入札,,,,
20100326,伊都建設部,道路建設課,国道３７１号　小規模道路改良発注者支援業務　　　　　　　　　　　　　　　　　　　,橋本市　　　　　　　,小原田　　　　　　　,外地内　　　　　　　,（株）データ技研　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 5,985,000 "," 4,390,596 "," 5,407,500 ",8,条件付一般競争入札,,,,
20100326,伊都建設部,道路保全課,国道４８０号外　道路災害防除発注者支援業務　　　　　　　　　　　　　　　　　　　,伊都郡　かつらぎ町　,花園梁瀬　　　　　　,外地内　　　　　　　,（株）データ技研　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 5,985,000 "," 4,352,890 "," 5,355,000 ",9,条件付一般競争入札,,,,
20100326,伊都建設部,河川課,橋本川　総合流域防災調査業務　　　　　　　　　　　　　　　　　　　　　　　　　　,橋本市　　　　　　　,東家　　　　　　　　,外地内　　　　　　　,川崎地質（株）和歌山事務所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 2,352,000 "," 1,715,548 "," 2,234,400 ",2,条件付一般競争入札,,,,
20100326,日高建設部,道路建設課,日高港線（仮称　西川大橋）　道路改良　設計業務　　　　　　　　　　　　　　　　　,日高郡　美浜町　　　,浜ノ瀬～御坊市薗　　,地内　　　　　　　　,アジア航測（株）和歌山営業所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 24,244,500 "," 17,276,630 "," 17,293,601 ",40,条件付一般競争入札,,,,
20100326,日高建設部,道路建設課,日高港線（仮称　西川大橋）　道路改良　調査業務　　　　　　　　　　　　　　　　　,日高郡　美浜町　　　,浜ノ瀬～御坊市薗　　,地内　　　　　　　　,（有）熊野路測量設計　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 4,242,000 "," 3,049,573 "," 3,052,543 ",20,条件付一般競争入札,,,,
20100326,日高建設部,道路建設課,日高港線（仮称　西川大橋）　道路改良　測量業務　　　　　　　　　　　　　　　　　,日高郡　美浜町　　　,浜ノ瀬～御坊市薗　　,地内　　　　　　　　,（株）アール・エス　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 5,754,000 "," 4,184,884 "," 4,269,468 ",14,条件付一般競争入札,,,,
20100326,日高建設部,河川課,小中川　河川災害復旧　工事　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高町　　　,小中　　　　　　　　,地内　　　　　　　　,（有）塩崎土建　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 5,394,900 "," 4,474,365 "," 4,531,170 ",2,条件付一般競争入札,,,,
20100326,東牟婁串本建設部,道路建設課,すさみ古座線地方特定道路整備発注者支援業務　　　　　　　　　　　　　　　　　　　,西牟婁郡　すさみ町　,周参見　　　　　　　,地内　　　　　　　　,和歌山航測（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 5,491,500 "," 4,074,693 "," 5,250,000 ",3,条件付一般競争入札,,,,
20100326,東牟婁新宮建設部,道路建設課,那智勝浦古座川線地方特定道路整備調査業務　　　　　　　　　　　　　　　　　　　　,東牟婁郡　那智勝浦町,川関　　　　　　　　,地内　　　　　　　　,（株）公共補償設計　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 2,383,500 "," 1,688,471 "," 1,700,150 ",10,条件付一般競争入札,,,,
20100326,東牟婁新宮建設部,道路建設課,国道１６９号道路改良測量業務　　　　　　　　　　　　　　　　　　　　　　　　　　,新宮市　　　　　　　,熊野川町玉置口　　　,地内　　　　　　　　,（有）大江設計事務所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 3,087,000 "," 2,249,496 "," 2,835,000 ",11,条件付一般競争入札,,,,
20100326,東牟婁新宮建設部,道路建設課,国道１６８号小規模道路改良発注者支援業務　　　　　　　　　　　　　　　　　　　　,新宮市　　　　　　　,熊野川町田長～　　　,熊野川町日足地内　　,和歌山航測（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 5,985,000 "," 4,382,217 "," 5,670,000 ",2,条件付一般競争入札,,,,
20100326,東牟婁新宮建設部,道路建設課,国道１６９号小規模道路改良発注者支援業務　　　　　　　　　　　　　　　　　　　　,東牟婁郡　北山村　　,七色外　　　　　　　,地内　　　　　　　　,和歌山航測（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 5,985,000 "," 4,403,164 "," 5,670,000 ",3,条件付一般競争入札,,,,
20100326,東牟婁新宮建設部,道路保全課,国道１６８号地方道路交付金工事　　　　　　　　　　　　　　　　　　　　　　　　　,新宮市　　　　　　　,熊野川町宮井　　　　,地内　　　　　　　　,福本工務店　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 21,859,950 "," 18,656,400 "," 18,672,675 ",22,条件付一般競争入札,,,,
20100325,海草建設部,河川課,市堀川河川管理工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,卜半町外　　　　　　,地内　　　　　　　　,（株）里村建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 2,328,900 "," 1,965,930 "," 1,967,700 ",12,条件付一般競争入札,,,,
20100325,日高建設部,河川課,江川　河川災害復旧　工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高川町　　,江川　　　　　　　　,地内　　　　　　　　,マワリミチ建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 3,732,750 "," 3,095,614 "," 3,731,700 ",2,条件付一般競争入札,,,,
20100325,西牟婁建設部,道路保全課,田辺白浜線地方道路交付金交通安全工事　　　　　　　　　　　　　　　　　　　　　　,西牟婁郡　白浜町　　,大浦　　　　　　　　,地内　　　　　　　　,宮本建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 15,128,400 "," 12,996,427 "," 14,371,980 ",14,条件付一般競争入札,,,,
20100325,西牟婁建設部,河川課,田川河川修繕工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,芳養町　　　　　　　,地内　　　　　　　　,（有）新成工業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 9,943,500 "," 8,497,928 "," 8,503,950 ",10,条件付一般競争入札,,,,
20100325,西牟婁建設部,砂防課,本宮地区地すべり対策工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,本宮町本宮　　　　　,地内　　　　　　　　,松本組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 22,726,200 "," 19,083,758 "," 19,087,950 ",30,条件付一般競争入札,,,,
20100325,西牟婁建設部,公共建築課,熊野高校太陽光発電設備設置工事　　　　　　　　　　　　　　　　　　　　　　　　　,西牟婁郡　上富田町　,朝来　　　　　　　　,地内　　　　　　　　,タナカ電業所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 20,248,200 "," 17,745,154 "," 17,818,500 ",17,条件付一般競争入札,,,,
20100325,西牟婁建設部,公共建築課,はまゆう支援学校太陽光発電設備設置工事　　　　　　　　　　　　　　　　　　　　　,西牟婁郡　上富田町　,岩田　　　　　　　　,地内　　　　　　　　,岩本電気産業（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 26,064,150 "," 22,957,200 "," 22,971,900 ",16,条件付一般競争入札,,,,
20100325,西牟婁建設部,公共建築課,はまゆう支援学校屋上防水改修工事　　　　　　　　　　　　　　　　　　　　　　　　,西牟婁郡　上富田町　,岩田　　　　　　　　,地内　　　　　　　　,（株）上野山塗工所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 8,586,900 "," 7,694,048 "," 7,709,100 ",12,条件付一般競争入札,,,,
20100325,西牟婁建設部,公共建築課,みくまの支援学校太陽光発電設備設置工事　　　　　　　　　　　　　　　　　　　　　,新宮市　　　　　　　,蜂伏　　　　　　　　,地内　　　　　　　　,山口電気工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 27,347,250 "," 24,011,514 "," 24,028,200 ",16,条件付一般競争入札,,,,
20100325,西牟婁建設部,港湾整備課,白浜海岸海岸環境整備工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　,西牟婁郡　白浜町　　,白浜　　　　　　　　,地先　　　　　　　　,（有）アセスメント　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 7,954,800 "," 6,778,353 "," 6,796,650 ",8,条件付一般競争入札,,,,
20100324,海草建設部,道路建設課,井ノ口秋月線道路改良調査業務　　　　　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,栗栖　　　　　　　　,地内　　　　　　　　,（有）熊野路測量設計　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 2,194,500 "," 1,574,553 "," 1,576,089 ",18,条件付一般競争入札,,,,
20100324,海草建設部,道路建設課,井ノ口秋月線道路改良設計業務　　　　　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,栗栖　　　　　　　　,地内　　　　　　　　,和歌山航測（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 7,728,000 "," 5,420,419 "," 5,543,294 ",13,条件付一般競争入札,,,,
20100324,海草建設部,道路建設課,粉河加太線道路改良調査業務　　　　　　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,直川　　　　　　　　,地内　　　　　　　　,（株）岡本設計　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 1,354,500 "," 975,646 "," 976,594 ",11,条件付一般競争入札,,,,
20100324,海草建設部,道路建設課,粉河加太線道路改良調査業務　　　　　　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,直川　　　　　　　　,地内　　　　　　　　,（株）公共補償設計　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 1,638,000 "," 1,159,212 "," 1,168,385 ",12,条件付一般競争入札,,,,
20100324,海草建設部,道路建設課,粉河加太線道路改良調査業務　　　　　　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,直川　　　　　　　　,地内　　　　　　　　,（有）グランパ補償研究所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 1,722,000 "," 1,249,999 "," 1,249,999 ",12,条件付一般競争入札,,,,
20100324,海草建設部,道路建設課,粉河加太線道路改良調査業務　　　　　　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,直川　　　　　　　　,地内　　　　　　　　,（株）岡本設計　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 1,722,000 "," 1,239,151 "," 1,241,562 ",12,条件付一般競争入札,,,,
20100324,海草建設部,道路建設課,粉河加太線道路改良調査業務　　　　　　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,直川　　　　　　　　,地内　　　　　　　　,（株）イ・アール・シ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 987,000 "," 700,572 "," 703,731 ",11,条件付一般競争入札,,,,
20100324,海草建設部,道路建設課,粉河加太線道路改良調査業務　　　　　　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,直川　　　　　　　　,地内　　　　　　　　,（株）歌建築設計事務所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 1,932,000 "," 1,399,734 "," 1,408,428 ",12,条件付一般競争入札,,,,
20100324,海草建設部,砂防課,加太地区急傾斜地崩壊対策緊急整備外合併工事　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,加太外　　　　　　　,地内　　　　　　　　,（株）谷組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 9,605,400 "," 7,959,583 "," 9,444,750 ",3,条件付一般競争入札,,,,
20100324,西牟婁建設部,公共建築課,みくまの支援学校屋根防水改修工事　　　　　　　　　　　　　　　　　　　　　　　　,新宮市　　　　　　　,蜂伏　　　　　　　　,地内　　　　　　　　,（株）紀陽建装　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 4,690,350 "," 4,197,897 "," 4,197,900 ",4,条件付一般競争入札,,,,
20100323,公共建築課,公共建築課,交通センター耐震改修工事監理業務　　　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,西　　　　　　　　　,地内　　　　　　　　,キューブ建築研究所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 11,725,350 "," 8,650,963 "," 8,673,000 ",7,条件付一般競争入札,,,,
20100323,公共建築課,公共建築課,たちばな支援学校太陽光発電設備工事　　　　　　　　　　　　　　　　　　　　　　　,有田郡　広川町　　　,和田　　　　　　　　,地内　　　　　　　　,紀南電設（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 24,898,650 "," 21,977,316 "," 22,022,700 ",17,条件付一般競争入札,,,,
20100323,公共建築課,公共建築課,和歌山盲学校太陽光発電設備工事　　　　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,府中　　　　　　　　,地内　　　　　　　　,共栄電設（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 24,867,150 "," 21,685,009 "," 21,945,000 ",20,条件付一般競争入札,,,,
20100323,公共建築課,公共建築課,紀伊コスモス支援学校太陽光発電設備工事　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,弘西　　　　　　　　,地内　　　　　　　　,共栄電設（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 26,755,050 "," 23,374,915 "," 23,625,000 ",26,条件付一般競争入札,,,,
20100323,公共建築課,公共建築課,和歌山ろう学校太陽光発電設備工事　　　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,砂山南三丁目　　　　,地内　　　　　　　　,（有）和歌浦電業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 16,051,350 "," 13,949,613 "," 14,059,500 ",22,条件付一般競争入札,,,,
20100323,公共建築課,公共建築課,みはま支援学校太陽光発電設備工事　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　美浜町　　　,和田　　　　　　　　,地内　　　　　　　　,有田建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 16,254,000 "," 14,226,360 "," 14,232,750 ",16,条件付一般競争入札,,,,
20100323,那賀建設部,道路建設課,西川原粉河線道路改良工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　,紀の川市　　　　　　,粉河　　　　　　　　,地内　　　　　　　　,山忠建設（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 21,135,450 "," 17,966,565 "," 18,070,500 ",8,条件付一般競争入札,,,,
20100323,那賀建設部,砂防課,最上地区地すべり対策工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　,紀の川市　　　　　　,桃山町最上　　　　　,地内　　　　　　　　,増田建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 14,774,550 "," 13,033,650 "," 13,048,350 ",11,条件付一般競争入札,,,,
20100323,那賀建設部,砂防課,東清川通常砂防工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,紀の川市　　　　　　,上鞆渕　　　　　　　,地内　　　　　　　　,（株）タニガキ建工　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 29,460,900 "," 25,142,386 "," 25,292,400 ",7,条件付一般競争入札,,,,
20100323,有田建設部,道路建設課,吉備金屋線道路改良工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,有田郡　有田川町　　,明王寺　　　　　　　,地内　　　　　　　　,（株）田中建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 14,996,100 "," 12,938,791 "," 13,197,240 ",20,条件付一般競争入札,,,,
20100323,有田建設部,道路建設課,吉備金屋線道路改良工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,有田郡　有田川町　　,明王寺　　　　　　　,外地内　　　　　　　,（株）中屋組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 6,067,950 "," 5,096,473 "," 5,098,275 ",28,条件付一般競争入札,,,,
20100323,有田建設部,道路建設課,吉備金屋線地方特定道路整備建物調査業務　　　　　　　　　　　　　　　　　　　　　,有田郡　有田川町　　,明王寺　　　　　　　,地内　　　　　　　　,（株）中央クリエイト和歌山営業所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 819,000 "," 573,300 "," 576,450 ",20,条件付一般競争入札,,,,
20100323,有田建設部,道路建設課,国道４８０号道路改良外合併工事　　　　　　　　　　　　　　　　　　　　　　　　　,有田郡　有田川町　　,田口　　　　　　　　,地内　　　　　　　　,（株）篠原組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 9,906,750 "," 8,898,242 "," 8,898,242 ",24,条件付一般競争入札,,,,
20100323,有田建設部,道路保全課,海南金屋線地方道路交付金工事　　　　　　　　　　　　　　　　　　　　　　　　　　,有田郡　有田川町　　,黒松　　　　　　　　,地内　　　　　　　　,瀬谷組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 12,652,500 "," 10,565,192 "," 10,571,505 ",30,条件付一般競争入札,,,,
20100323,有田建設部,道路保全課,国道４８０号（楠本橋）橋梁補修工事　　　　　　　　　　　　　　　　　　　　　　　,有田郡　有田川町　　,楠本　　　　　　　　,地内　　　　　　　　,（有）協和土木　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 5,477,850 "," 4,579,968 "," 4,601,940 ",9,条件付一般競争入札,,,,
20100319,公共建築課,公共建築課,和歌山高校防災型太陽光発電設備工事　　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,新庄　　　　　　　　,地内　　　　　　　　,（有）ハンデン　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 25,037,250 "," 21,837,816 "," 22,008,000 ",10,条件付一般競争入札,,,,
20100319,公共建築課,公共建築課,有田中央高校太陽光発電設備工事　　　　　　　　　　　　　　　　　　　　　　　　　,有田郡　有田川町　　,下津野　　　　　　　,地内　　　　　　　　,（有）紀州エンジニアリング　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　," 26,961,900 "," 23,962,176 "," 23,964,150 ",18,条件付一般競争入札,,,,
