入札日,執行課名,事業担当課名,工事名,工事場所１市区町村,工事場所１地名１,工事場所１地名２,契約業者名,予定価格,最低制限価格若しくは調査基準価格,落札価格,応札業者数等,入札形式
20090330,海草建設部,道路保全課,興加茂郷停車場線外道路維持修繕工事（単価契約）　　　　　　　　　　　　　　　　　,海南市　　　　　　　,　　　　　　　　　　,管内一円（旧下津町）,落合組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,5034750,3937137,4882500,3,条件付一般競争入札
20090330,海草建設部,道路保全課,国道３７０号外道路維持修繕工事（単価契約）　　　　　　　　　　　　　　　　　　　,海草郡　紀美野町　　,　　　　　　　　　　,管内一円（旧野上町）,（株）吉田組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,5070450,3921180,4158000,5,条件付一般競争入札
20090330,海草建設部,道路保全課,国道３７０号外道路維持修繕工事（単価契約）　　　　　　　　　　　　　　　　　　　,海草郡　紀美野町　　,　　　　　　　　　　,管内一円（旧美里町）,折口建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,6045900,4220848,4909800,6,条件付一般競争入札
20090330,海草建設部,河川課,加茂川河川高潮対策工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,海南市　　　　　　　,下津町方　　　　　　,地内　　　　　　　　,（株）宮尾組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,20060250,16317705,19797750,4,条件付一般競争入札
20090330,海草建設部,河川課,和田川外河川修繕工事（単価契約）　　　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,田尻外　　　　　　　,地内　　　　　　　　,佳江建設（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,5008500,4002868,4106550,4,条件付一般競争入札
20090327,公共建築課,住宅環境課,紀三井寺公園陸上競技場他整備工事基本計画・基本設計業務　　　　　　　　　　　　　,和歌山市　　　　　　,毛見　　　　　　　　,地内　　　　　　　　,（株）綜企画設計大阪支店　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,32611950,0,7350000,11,条件付一般競争入札
20090327,公共建築課,公共建築課,県立総合体育館（仮称）建築工事基本・実施設計業務　　　　　　　　　　　　　　　　,和歌山市　　　　　　,手平　　　　　　　　,地内　　　　　　　　,（株）綜企画設計大阪支店　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,78306900,0,23625000,16,条件付一般競争入札
20090327,和歌山下津港湾事務所,港湾整備課,和歌山下津港　港湾海岸高潮対策調査業務　　　　　　　　　　　　　　　　　　　　　,有田市　　　　　　　,女の浦　　　　　　　,地先　　　　　　　　,（株）武田基礎調査　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,4756500,3396141,3622500,10,条件付一般競争入札
20090327,和歌山下津港湾事務所,港湾整備課,和歌山下津港　港湾海岸高潮対策設計業務　　　　　　　　　　　　　　　　　　　　　,有田市　　　　　　　,女の浦　　　　　　　,地先　　　　　　　　,（株）データ技研　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,2898000,1994113,2457000,14,条件付一般競争入札
20090327,日高建設部,河川課,南部川（外）　河川修繕　工事　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　みなべ町　　,筋（外）　　　　　　,地内　　　　　　　　,（株）宝玉井建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,9917250,8388453,8394750,17,条件付一般競争入札
20090326,河川課,河川課,河川監視カメラ整備工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,湊通丁　北１丁目　　,外地内　　　　　　　,（株）サイバーリンクス　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,86585100,58127463,73597335,2,条件付一般競争入札（総合評価）
20090326,海草建設部,道路保全課,和歌山港線外道路維持修繕工事（単価契約）　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,築港外　　　　　　　,地内　　　　　　　　,庄司建設工業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,4735500,3741664,3780000,6,条件付一般競争入札
20090326,海草建設部,道路保全課,粉河加太線外道路維持修繕工事（単価契約）　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,狐島外　　　　　　　,地内　　　　　　　　,（株）三進建設工業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,4865700,3733493,3794700,24,条件付一般競争入札
20090326,海草建設部,河川課,亀の川河川修繕工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,内原外　　　　　　　,地内　　　　　　　　,（有）塩﨑組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,19689600,16619006,16684500,3,条件付一般競争入札
20090326,海草建設部,河川課,市堀川緑地管理工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,卜半町外　　　　　　,地内　　　　　　　　,（株）東陽園建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,2003400,1580779,1995000,3,条件付一般競争入札
20090324,海草建設部,道路建設課,国道４２４号道路改良設計業務　　　　　　　　　　　　　　　　　　　　　　　　　　,海南市　　　　　　　,上谷　　　　　　　　,地内　　　　　　　　,（株）サン技研コンサルタンツ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,9712500,6846341,6853140,41,条件付一般競争入札
20090324,伊都建設部,河川課,東谷川外河川修繕工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,橋本市　　　　　　　,北馬場　　　　　　　,外地内　　　　　　　,（有）武田造園　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,4917150,4146140,4147500,5,条件付一般競争入札
20090324,伊都建設部,建築住宅課,県営住宅緊急修繕　単価契約工事（第１区域）　　　　　　　　　　　　　　　　　　　,橋本市　　　　　　　,野　　　　　　　　　,外地内　　　　　　　,（株）森本組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,3148950,2564562,3144750,3,条件付一般競争入札
20090324,伊都建設部,建築住宅課,県営住宅緊急修繕　単価契約工事（第２区域）　　　　　　　　　　　　　　　　　　　,橋本市　　　　　　　,高野口町大野　　　　,外地内　　　　　　　,（株）井端組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,2783550,2242201,2780400,4,条件付一般競争入札
20090324,伊都建設部,建築住宅課,県営住宅入替修繕　単価契約工事（第１区域）　　　　　　　　　　　　　　　　　　　,橋本市　　　　　　　,野　　　　　　　　　,外地内　　　　　　　,（株）岡利商事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,3004050,2458010,2998800,3,条件付一般競争入札
20090324,伊都建設部,建築住宅課,県営住宅入替修繕　単価契約工事（第２区域）　　　　　　　　　　　　　　　　　　　,橋本市　　　　　　　,高野口町大野　　　　,外地内　　　　　　　,向江組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,2626050,2150649,2621850,4,条件付一般競争入札
20090323,那賀建設部,河川課,根来川河川修繕工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,岩出市　　　　　　　,川尻　　　　　　　　,外地内　　　　　　　,（有）木村建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,6275850,4878666,5145000,5,条件付一般競争入札
20090323,伊都建設部,道路建設課,国道４８０号（７号橋）道路改築工事　　　　　　　　　　　　　　　　　　　　　　　,伊都郡　かつらぎ町　,平　　　　　　　　　,地内　　　　　　　　,三井造船鉄構工事（株）和歌山営業所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,96840450,78363134,92610000,2,条件付一般競争入札（総合評価）
20090323,日高建設部,道路建設課,井関御坊線　道路改良　工事　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高町　　　,原谷　　　　　　　　,地内　　　　　　　　,松勝建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,18837000,15177317,15224998,27,条件付一般競争入札
20090323,日高建設部,道路建設課,井関御坊線　道路改良　工事　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高町　　　,原谷　　　　　　　　,地内　　　　　　　　,マワリミチ建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,14777700,11776422,11808300,35,条件付一般競争入札
20090319,海草建設部,道路建設課,西脇山口線（六十谷）（千手橋上部）道路改良工事　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,六十谷　　　　　　　,地内　　　　　　　　,（株）エム・テック近畿支店　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,49022400,39611696,44100000,3,条件付一般競争入札（総合評価）
20090319,西牟婁建設部,道路保全課,国道３７１号道路災害防除工事　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,龍神村龍神　　　　　,地内　　　　　　　　,川口建設（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,19727400,15490629,15536850,17,条件付一般競争入札
20090319,西牟婁建設部,道路保全課,国道３７１号道路災害防除工事　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,龍神村龍神　　　　　,地内　　　　　　　　,（有）ヨシダ組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,13739250,10659734,10724858,18,条件付一般競争入札
20090319,西牟婁建設部,道路保全課,国道３７１号道路災害防除工事　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,龍神村龍神　　　　　,地内　　　　　　　　,紀南緑化（有）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,16124850,13132171,13133715,36,条件付一般競争入札
20090319,西牟婁建設部,道路保全課,田辺龍神線（下栃谷橋外１橋）橋りょう補修工事　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,龍神村柳瀬　　　　　,地内　　　　　　　　,吉福鉄工（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,29968050,24137638,26880000,2,条件付一般競争入札
20090319,西牟婁建設部,道路保全課,田辺龍神線（下栃谷橋外１橋）橋りょう補修工事　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,龍神村柳瀬　　　　　,地内　　　　　　　　,中村組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,21485100,17346136,17608500,9,条件付一般競争入札
20090319,東牟婁串本建設部,道路建設課,国道３７１号（仮称蔵土２号橋下部）特殊改良外合併工事　　　　　　　　　　　　　　,東牟婁郡　古座川町　,蔵土　　　　　　　　,地内　　　　　　　　,（株）小森組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,99480150,80851772,82425000,3,条件付一般競争入札（総合評価）
20090319,東牟婁串本建設部,道路建設課,長井古座線小規模道路改良工事　　　　　　　　　　　　　　　　　　　　　　　　　　,東牟婁郡　串本町　　,佐部　　　　　　　　,地内　　　　　　　　,（株）小森組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,99480150,80851772,82425000,3,条件付一般競争入札（総合評価）
20090319,東牟婁串本建設部,道路建設課,すさみ古座線地方特定道路整備工事　　　　　　　　　　　　　　　　　　　　　　　　,西牟婁郡　すさみ町　,小河内　　　　　　　,地内　　　　　　　　,（有）泰間組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,44889600,36613915,36785700,7,条件付一般競争入札（総合評価）
20090319,東牟婁串本建設部,道路保全課,すさみ古座線（河内橋）橋りよう補修工事　　　　　　　　　　　　　　　　　　　　　,東牟婁郡　古座川町　,宇津木　　　　　　　,地内　　　　　　　　,（株）初島組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,89701500,73659417,75075000,4,条件付一般競争入札（総合評価）
20090319,東牟婁串本建設部,河川課,那智勝浦古座川線道路災害復旧工事　　　　　　　　　　　　　　　　　　　　　　　　,東牟婁郡　古座川町　,小森川　　　　　　　,地内　　　　　　　　,松栄建設（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,4683000,3702003,3979500,4,条件付一般競争入札
20090318,伊都建設部,道路建設課,紀の川左岸３期地区　水木谷道路・岡ノ峰作業道工事　　　　　　　　　　　　　　　　,橋本市　　　　　　　,学文路　　　　　　　,地内　　　　　　　　,（株）森本組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,33148500,26812863,27184500,12,条件付一般競争入札（総合評価）
20090318,東牟婁新宮建設部,砂防課,椎の浦地区砂防修繕工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,東牟婁郡　那智勝浦町,勝浦　　　　　　　　,地内　　　　　　　　,新宮電気工事（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,2478000,2104193,2106825,5,条件付一般競争入札
20090317,海草建設部,道路建設課,湊神前線道路改良調査業務　　　　　　　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,神前　　　　　　　　,地内　　　　　　　　,玉野総合コンサルタント（株）和歌山事務所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,10668000,7318248,7325715,21,条件付一般競争入札
20090317,有田建設部,道路保全課,吉備金屋線交通安全施設等整備工事　　　　　　　　　　　　　　　　　　　　　　　　,有田郡　有田川町　　,庄　　　　　　　　　,地内　　　　　　　　,（株）南興業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,18132450,14823824,14872200,7,条件付一般競争入札
20090316,海草建設部,道路建設課,海南金屋線道路改良工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,海南市　　　　　　　,重根　　　　　　　　,地内　　　　　　　　,芝本組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,7397250,5831595,5991772,6,条件付一般競争入札
20090316,海草建設部,道路建設課,海南金屋線地方特定道路整備工事　　　　　　　　　　　　　　　　　　　　　　　　　,海南市　　　　　　　,扱沢　　　　　　　　,地内　　　　　　　　,和大興業（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,45329550,36589173,39898950,2,条件付一般競争入札（総合評価）
20090316,海草建設部,道路建設課,高野口野上線道路改良工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　,海草郡　紀美野町　　,円明寺　　　　　　　,地内　　　　　　　　,（株）丸山組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,99902250,84122044,84262500,23,条件付一般競争入札（総合評価）
20090316,海草建設部,河川課,日方川河川修繕工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,海南市　　　　　　　,大野中　　　　　　　,地内　　　　　　　　,栩中建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,7051800,5604127,5722500,6,条件付一般競争入札
20090316,東牟婁新宮建設部,道路建設課,伊佐田町王子ヶ浜線道路改良工事　　　　　　　　　　　　　　　　　　　　　　　　　,新宮市　　　　　　　,新宮　　　　　　　　,地内　　　　　　　　,三浦組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,28841400,23280925,23361450,17,条件付一般競争入札
20090316,東牟婁新宮建設部,道路建設課,国道１６９号特殊改良外合併工事　　　　　　　　　　　　　　　　　　　　　　　　　,東牟婁郡　北山村　　,竹原　　　　　　　　,地内　　　　　　　　,下山建設工業（有）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,65726850,53283513,53726400,16,条件付一般競争入札（総合評価）
20090316,東牟婁新宮建設部,道路保全課,国道１６９号（のまず谷橋外５橋）橋りょう補修工事　　　　　　　　　　　　　　　　,東牟婁郡　北山村　　,下尾井　　　　　　　,外地内　　　　　　　,熊野川開発　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,46124400,37782287,40351500,4,条件付一般競争入札（総合評価）
20090316,東牟婁新宮建設部,河川課,市田川河川修繕工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,新宮市　　　　　　　,新宮　　　　　　　　,地内　　　　　　　　,王子産業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,7644000,6032250,6956250,6,条件付一般競争入札
20090316,東牟婁新宮建設部,河川課,天満川外河川修繕工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,東牟婁郡　那智勝浦町,天満　　　　　　　　,外地内　　　　　　　,王子産業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,12031950,9395319,10815000,3,条件付一般競争入札
20090313,公共建築課,住宅環境課,川永団地２４号棟トータルリモデル外構他工事　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,島　　　　　　　　　,地内　　　　　　　　,（株）赤土建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,6529950,5337325,5390000,10,条件付一般競争入札
20090313,公共建築課,住宅環境課,今福第二団地建替（２期）２号棟電気設備工事　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,今福三丁目　　　　　,地内　　　　　　　　,（株）萩野電機工業所　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,27670650,22426689,22575000,13,条件付一般競争入札
20090313,公共建築課,住宅環境課,今福第二団地建替（２期）３号棟電気設備工事　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,今福三丁目　　　　　,地内　　　　　　　　,武内電気（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,39825450,32560175,32637150,9,条件付一般競争入札（総合評価）
20090313,公共建築課,住宅環境課,今福第二団地建替（２期）３号棟機械設備工事　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,今福三丁目　　　　　,地内　　　　　　　　,（株）ツジヤ商会　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,47878950,40131352,40320000,7,条件付一般競争入札（総合評価）
20090313,公共建築課,住宅環境課,今福第二団地建替（２期）２号棟機械設備工事　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,今福三丁目　　　　　,地内　　　　　　　　,大晶建設（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,34611150,28451758,28864500,7,条件付一般競争入札（総合評価）
20090313,和歌山下津港湾事務所,港湾整備課,和歌山下津港　港湾改良（毛見防波堤）設計業務　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,毛見　　　　　　　　,地先　　　　　　　　,（株）データ技研　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,1312500,894862,1115100,13,条件付一般競争入札
20090313,那賀建設部,道路保全課,国道４２４号（星子橋）地方道路交付金工事　　　　　　　　　　　　　　　　　　　　,紀の川市　　　　　　,貴志川町井ノ口　　　,地内　　　　　　　　,酒井工業（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,69681150,55980913,59283000,6,条件付一般競争入札（総合評価）
20090313,那賀建設部,河川課,住吉川河川修繕工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,岩出市　　　　　　　,中島　　　　　　　　,外地内　　　　　　　,紀ノ国建設（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,10382400,8754439,8809500,4,条件付一般競争入札
20090313,日高建設部,道路建設課,滝切目停車場線　道路改良　工事　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　印南町　　　,島田　　　　　　　　,地内　　　　　　　　,（株）梶工務店　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,38459400,31140178,31397100,23,条件付一般競争入札（総合評価）
20090313,日高建設部,道路建設課,井関御坊線　道路改良　工事　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高町　　　,原谷　　　　　　　　,地内　　　　　　　　,竹島鉄工建設（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,59771250,49353925,57435000,1,条件付一般競争入札（総合評価）
20090312,公共建築課,公共建築課,那賀総合庁舎公共下水道接続工事　　　　　　　　　　　　　　　　　　　　　　　　　,岩出市　　　　　　　,高塚　　　　　　　　,地内　　　　　　　　,（有）山田電業社　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,7305900,5969615,6722100,5,条件付一般競争入札
20090312,海草建設部,道路建設課,奥佐々阪井線半島振興道路整備調査業務　　　　　　　　　　　　　　　　　　　　　　,海草郡　紀美野町　　,動木　　　　　　　　,外地内　　　　　　　,（株）三和綜合コンサル和歌山支店　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,3171000,2219700,2625000,9,条件付一般競争入札
20090312,海草建設部,道路建設課,花園美里線道路改良工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,海草郡　紀美野町　　,長谷宮　　　　　　　,地内　　　　　　　　,中谷組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,10863300,8729481,9765000,5,条件付一般競争入札
20090312,海草建設部,砂防課,朝日地区特殊急傾斜地崩壊対策工事　　　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,朝日　　　　　　　　,地内　　　　　　　　,（有）赤井組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,1902600,1478400,1499400,4,条件付一般競争入札
20090312,海草建設部,砂防課,関戸地区特殊急傾斜地崩壊対策工事　　　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,関戸　　　　　　　　,地内　　　　　　　　,古川工務店　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,1723050,1333215,1341585,11,条件付一般競争入札
20090312,海草建設部,砂防課,本渡地区特殊急傾斜地崩壊対策工事　　　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,本渡　　　　　　　　,地内　　　　　　　　,（株）谷組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,2549400,1962477,2547300,2,条件付一般競争入札
20090312,海草建設部,道路政策課,波浪観測器材解体工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,和歌山市　　　　　　,西浜　　　　　　　　,地内　　　　　　　　,（有）ユカワ開発　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,4448850,3691290,4448850,4,条件付一般競争入札
20090312,東牟婁新宮建設部,港湾整備課,新宮港港湾改良工事　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,新宮市　　　　　　　,三輪崎　　　　　　　,地内　　　　　　　　,（株）川合組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,48141450,39544832,39671100,25,条件付一般競争入札（総合評価）
20090311,那賀建設部,河川課,春日川総合流域防災外合併（仮称１号橋）工事　　　　　　　　　　　　　　　　　　　,紀の川市　　　　　　,東国分　　　　　　　,地内　　　　　　　　,（株）丸栄山下組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,11313750,9136640,9177000,3,条件付一般競争入札
20090311,有田建設部,住宅環境課,県営住宅御殿場団地擁壁改修工事　　　　　　　　　　　　　　　　　　　　　　　　　,有田郡　湯浅町　　　,山田　　　　　　　　,地内　　　　　　　　,三谷組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,78416100,63301366,63525000,11,条件付一般競争入札（総合評価）
